generation,best_fitness,best_individual,mean_fitness,std_dev
1,1604.7605161891397,"Individual(fitness=1605.5046998627267, values=[-24.395604395604394, 50.28083028083029, -56.92307692307692, 2.4664224664224577, -54.969474969474966, -5.98290598290599, -32.5030525030525, -94.1880341880342, 37.87545787545787, -1.9291819291819365])",1605.064438546876,0.15452101938153942
2,1604.6298844417227,"Individual(fitness=1605.7157725452792, values=[43.15018315018315, -31.77045177045177, -87.25274725274726, 83.93162393162393, -55.409035409035404, 43.3943833943834, -93.99267399267399, -80.07326007326007, -6.178266178266185, 16.776556776556788])",1605.0846774753447,0.19689500896994158
3,1604.6581929190145,"Individual(fitness=1605.7157725452792, values=[43.15018315018315, -31.77045177045177, -87.25274725274726, 83.93162393162393, -55.409035409035404, 43.3943833943834, -93.99267399267399, -80.07326007326007, -6.178266178266185, 16.776556776556788])",1605.1604694940838,0.24717635701954335
4,1604.531155585534,"Individual(fitness=1605.737366625425, values=[-24.395604395604394, 50.28083028083029, -56.92307692307692, 2.564102564102555, -1.8315018315018392, -34.21245421245422, 67.52136752136752, -94.1880341880342, 37.87545787545787, -1.9291819291819365])",1605.1993585129126,0.28093048247170943
5,1604.3285275003464,"Individual(fitness=1605.737366625425, values=[-24.395604395604394, 50.28083028083029, -56.92307692307692, 2.564102564102555, -1.8315018315018392, -34.21245421245422, 67.52136752136752, -94.1880341880342, 37.87545787545787, -1.9291819291819365])",1605.219445252357,0.35677033985193635
6,1604.527450113298,"Individual(fitness=1605.9069959521464, values=[-24.395604395604394, 50.28083028083029, -56.727716727716725, 2.564102564102555, -1.8315018315018392, -34.21245421245422, 67.52136752136752, -94.1880341880342, 37.87545787545787, -1.9291819291819365])",1605.328421287148,0.3324788460999981
7,1604.717443317859,"Individual(fitness=1605.9069959521464, values=[-24.395604395604394, 50.28083028083029, -56.727716727716725, 2.564102564102555, -1.8315018315018392, -34.21245421245422, 67.52136752136752, -94.1880341880342, 37.87545787545787, -1.9291819291819365])",1605.358206716231,0.33431121265794517
8,1604.3141867445627,"Individual(fitness=1605.9569006208744, values=[-24.395604395604394, 50.23199023199024, -56.727716727716725, 2.6617826617826523, -55.360195360195355, -76.5079365079365, -32.5030525030525, -94.1880341880342, 37.87545787545787, -2.710622710622715])",1605.3267683960573,0.3865604281141812
9,1604.5580408926764,"Individual(fitness=1605.9569006208744, values=[-24.395604395604394, 50.23199023199024, -56.727716727716725, 2.6617826617826523, -55.360195360195355, -76.5079365079365, -32.5030525030525, -94.1880341880342, 37.87545787545787, -2.710622710622715])",1605.4374530711943,0.3685895587890235
10,1604.5496433769727,"Individual(fitness=1605.9927631926748, values=[-24.395604395604394, 50.23199023199024, -56.727716727716725, 2.6617826617826523, -55.360195360195355, -76.5079365079365, -32.5030525030525, -94.1880341880342, 37.87545787545787, -1.9291819291819365])",1605.498266251305,0.3702376671008209
11,1604.4340785008649,"Individual(fitness=1606.047017090012, values=[54.18803418803421, -27.57020757020757, 75.92185592185592, -72.25885225885226, -1.8315018315018392, -31.623931623931625, 68.4981684981685, -94.1880341880342, 33.18681318681317, -26.105006105006098])",1605.5084016364156,0.4141809381474018
12,1604.9281760578865,"Individual(fitness=1606.047017090012, values=[54.18803418803421, -27.57020757020757, 75.92185592185592, -72.25885225885226, -1.8315018315018392, -31.623931623931625, 68.4981684981685, -94.1880341880342, 33.18681318681317, -26.105006105006098])",1605.6607328533432,0.3090234464638342
13,1604.9355837191063,"Individual(fitness=1606.047017090012, values=[54.18803418803421, -27.57020757020757, 75.92185592185592, -72.25885225885226, -1.8315018315018392, -31.623931623931625, 68.4981684981685, -94.1880341880342, 33.18681318681317, -26.105006105006098])",1605.688730504296,0.3209637375369701
14,1604.723831420977,"Individual(fitness=1606.0556120220745, values=[-24.395604395604394, 50.23199023199024, -56.92307692307692, 2.7594627594627497, -1.8315018315018392, -31.623931623931625, 68.4981684981685, -94.1880341880342, 33.18681318681317, -2.710622710622715])",1605.6608057612675,0.3876577245803077
15,1604.8694618249294,"Individual(fitness=1606.0556120220745, values=[-24.395604395604394, 50.23199023199024, -56.92307692307692, 2.7594627594627497, -1.8315018315018392, -31.623931623931625, 68.4981684981685, -94.1880341880342, 33.18681318681317, -2.710622710622715])",1605.650964803453,0.3785757026351197
16,1604.570545184196,"Individual(fitness=1606.1150631997448, values=[-24.59096459096459, 50.28083028083029, -56.53235653235653, 2.6617826617826523, -55.360195360195355, -76.5079365079365, -32.5030525030525, -94.1880341880342, 37.87545787545787, -1.9291819291819365])",1605.65287006072,0.4272329420887246
17,1604.6860901625953,"Individual(fitness=1606.1150631997448, values=[-24.59096459096459, 50.28083028083029, -56.53235653235653, 2.6617826617826523, -55.360195360195355, -76.5079365079365, -32.5030525030525, -94.1880341880342, 37.87545787545787, -1.9291819291819365])",1605.7311271061483,0.40633024468797346
