generation,best_fitness,best_individual,mean_fitness,std_dev
1,1604.5669745219177,"Individual(fitness=1605.8101543742198, values=[20.146520146520146, -62.34432234432234, 42.12454212454213, -97.55799755799755, -33.82173382173383, 82.51526251526252, 4.078144078144092, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.0278112420267,0.16960096307078176
2,1604.53126172725,"Individual(fitness=1605.9597696240915, values=[-84.17582417582418, -17.313797313797323, -87.74114774114774, -24.835164835164832, -50.427350427350426, -89.7924297924298, 8.18070818070818, 22.2954822954823, -10.915750915750905, 1.684981684981679])",1605.0151067354875,0.20979302473754305
3,1604.6852345674563,"Individual(fitness=1605.9597696240915, values=[-84.17582417582418, -17.313797313797323, -87.74114774114774, -24.835164835164832, -50.427350427350426, -89.7924297924298, 8.18070818070818, 22.2954822954823, -10.915750915750905, 1.684981684981679])",1605.0065229173467,0.19196517500323387
4,1604.804498397541,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.0658307351987,0.23785837910413848
5,1604.6244657865193,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.0491591395892,0.24078097541274132
6,1604.6823815109642,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.062628768258,0.25333635924545667
7,1604.4110521616578,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.0700280557426,0.3113314703143997
8,1604.763121732784,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.1218520979446,0.3213469312306023
9,1604.720399726612,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.14014054791,0.3520445681935156
10,1604.7500418175223,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.138045950752,0.36073151343364046
11,1604.71564142467,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.1522020603263,0.3775872140524832
12,1604.71564142467,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.1494340391484,0.4003854283082785
13,1604.6406438917397,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.171610242679,0.4064789492947222
14,1604.7815345340164,"Individual(fitness=1606.1866934901923, values=[-27.765567765567766, -14.578754578754584, -37.72893772893773, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.1349788111297,0.36218754947925597
15,1604.7004777636898,"Individual(fitness=1606.3034411632232, values=[-27.765567765567766, -14.578754578754584, -38.51037851037851, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.1438078037625,0.4019783995001757
16,1604.6022653227292,"Individual(fitness=1606.3034411632232, values=[-27.765567765567766, -14.578754578754584, -38.51037851037851, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.1661960385263,0.4069236793093986
17,1604.5756933565174,"Individual(fitness=1606.3034411632232, values=[-27.765567765567766, -14.578754578754584, -38.51037851037851, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.1181046741012,0.4300114796674098
18,1604.595936813074,"Individual(fitness=1606.3034411632232, values=[-27.765567765567766, -14.578754578754584, -38.51037851037851, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.1497733276049,0.45041627714919275
19,1604.575243708246,"Individual(fitness=1606.3034411632232, values=[-27.765567765567766, -14.578754578754584, -38.51037851037851, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.1724744336013,0.42495133101319693
20,1604.658507605357,"Individual(fitness=1606.3744254382104, values=[-26.544566544566536, -22.002442002441995, -87.74114774114774, -24.835164835164832, 10.573870573870579, -43.101343101343105, -57.46031746031746, 80.85470085470087, 19.804639804639805, 34.55433455433456])",1605.2111117794564,0.4513372582740982
21,1604.6722890120125,"Individual(fitness=1606.3744254382104, values=[-26.544566544566536, -22.002442002441995, -87.74114774114774, -24.835164835164832, 10.573870573870579, -43.101343101343105, -57.46031746031746, 80.85470085470087, 19.804639804639805, 34.55433455433456])",1605.1866391117715,0.4427170306844792
22,1604.7012372397783,"Individual(fitness=1606.3744254382104, values=[-26.544566544566536, -22.002442002441995, -87.74114774114774, -24.835164835164832, 10.573870573870579, -43.101343101343105, -57.46031746031746, 80.85470085470087, 19.804639804639805, 34.55433455433456])",1605.1500677523934,0.4149042622811439
23,1604.6678790902008,"Individual(fitness=1606.3744254382104, values=[-26.544566544566536, -22.002442002441995, -87.74114774114774, -24.835164835164832, 10.573870573870579, -43.101343101343105, -57.46031746031746, 80.85470085470087, 19.804639804639805, 34.55433455433456])",1605.172966811569,0.4142887534070082
24,1604.6361690845974,"Individual(fitness=1606.3744254382104, values=[-26.544566544566536, -22.002442002441995, -87.74114774114774, -24.835164835164832, 10.573870573870579, -43.101343101343105, -57.46031746031746, 80.85470085470087, 19.804639804639805, 34.55433455433456])",1605.1674989191513,0.410041686160382
25,1604.5842051083303,"Individual(fitness=1606.3744254382104, values=[-26.544566544566536, -22.002442002441995, -87.74114774114774, -24.835164835164832, 10.573870573870579, -43.101343101343105, -57.46031746031746, 80.85470085470087, 19.804639804639805, 34.55433455433456])",1605.166280024289,0.42217728473054733
26,1604.648253446789,"Individual(fitness=1606.3744254382104, values=[-26.544566544566536, -22.002442002441995, -87.74114774114774, -24.835164835164832, 10.573870573870579, -43.101343101343105, -57.46031746031746, 80.85470085470087, 19.804639804639805, 34.55433455433456])",1605.140733266384,0.39414388796275807
27,1604.5637453559168,"Individual(fitness=1606.3744254382104, values=[-26.544566544566536, -22.002442002441995, -87.74114774114774, -24.835164835164832, 10.573870573870579, -43.101343101343105, -57.46031746031746, 80.85470085470087, 19.804639804639805, 34.55433455433456])",1605.1719901316362,0.4240698820743915
28,1604.4759874393437,"Individual(fitness=1606.3744254382104, values=[-26.544566544566536, -22.002442002441995, -87.74114774114774, -24.835164835164832, 10.573870573870579, -43.101343101343105, -57.46031746031746, 80.85470085470087, 19.804639804639805, 34.55433455433456])",1605.1530988652848,0.46691145065026757
29,1604.6773410529374,"Individual(fitness=1606.3744254382104, values=[-26.544566544566536, -22.002442002441995, -87.74114774114774, -24.835164835164832, 10.573870573870579, -43.101343101343105, -57.46031746031746, 80.85470085470087, 19.804639804639805, 34.55433455433456])",1605.211939922827,0.487774088716879
30,1604.7618021500907,"Individual(fitness=1606.383487094729, values=[-27.96092796092796, -14.578754578754584, -38.51037851037851, -24.835164835164832, -50.427350427350426, -89.7924297924298, 7.203907203907207, -62.588522588522586, -45.934065934065934, 33.724053724053704])",1605.2570683432536,0.503600853351869
