generation,best_fitness,best_individual,mean_fitness,std_dev
1,-2.8554999146251667,"Individual(fitness=4.088675840006735, values=[8.407814407814406, 5.457875457875458, -2.0439560439560447, 9.995115995115995, -6.971916971916972, -6.800976800976802, -0.7106227106227099, -5.462759462759463, -8.925518925518926, 2.6788766788766782, 6.19047619047619, 4.954822954822955, 5.711843711843711, 0.8962148962148948, 4.832722832722833, 3.8803418803418808, -2.4835164835164836, -9.335775335775336, -2.7326007326007327, 2.7814407814407804, 4.803418803418804, -3.147741147741147, -8.583638583638583, 5.1550671550671545, 6.55189255189255, -1.1599511599511594, -8.935286935286936, -7.865689865689866, 8.442002442002444, 0.5445665445665444])",0.2977611373094601,1.5570567690964254
2,-2.6129944124400386,"Individual(fitness=4.223974810642691, values=[8.407814407814406, 5.457875457875458, -2.0439560439560447, 9.995115995115995, -6.971916971916972, -6.800976800976802, -0.7106227106227099, -5.462759462759463, -8.925518925518926, 2.6788766788766782, 6.19047619047619, 4.954822954822955, 5.711843711843711, 0.8962148962148948, 4.832722832722833, 3.8901098901098905, -9.013431013431013, 3.645909645909647, 5.609279609279609, -0.485958485958486, -8.27106227106227, -4.041514041514041, 3.7435897435897445, -7.211233211233211, -4.837606837606837, 3.474969474969477, 5.0476190476190474, 6.957264957264957, -3.660561660561661, -6.986568986568987])",0.4561011314315417,1.5813357991299186
3,-2.6129944124400386,"Individual(fitness=4.817377060310217, values=[8.407814407814406, 5.457875457875458, -2.0439560439560447, 9.995115995115995, -6.971916971916972, -6.800976800976802, -0.7106227106227099, -5.462759462759463, -8.925518925518926, 2.6788766788766782, 6.19047619047619, 4.954822954822955, 5.711843711843711, 0.8962148962148948, 4.832722832722833, 3.8901098901098905, -9.013431013431013, 3.645909645909647, 5.609279609279609, -0.485958485958486, -8.27106227106227, -4.041514041514041, 3.7435897435897445, -7.211233211233211, -4.837606837606837, 3.474969474969477, 6.068376068376068, -7.865689865689866, 8.442002442002444, 0.5445665445665444])",0.6131840594569085,1.753635178131021
4,-2.2411649224598857,"Individual(fitness=4.817377060310217, values=[8.407814407814406, 5.457875457875458, -2.0439560439560447, 9.995115995115995, -6.971916971916972, -6.800976800976802, -0.7106227106227099, -5.462759462759463, -8.925518925518926, 2.6788766788766782, 6.19047619047619, 4.954822954822955, 5.711843711843711, 0.8962148962148948, 4.832722832722833, 3.8901098901098905, -9.013431013431013, 3.645909645909647, 5.609279609279609, -0.485958485958486, -8.27106227106227, -4.041514041514041, 3.7435897435897445, -7.211233211233211, -4.837606837606837, 3.474969474969477, 6.068376068376068, -7.865689865689866, 8.442002442002444, 0.5445665445665444])",0.7810379916691172,1.8357555040494975
5,-2.3910475621819676,"Individual(fitness=4.817377060310217, values=[8.407814407814406, 5.457875457875458, -2.0439560439560447, 9.995115995115995, -6.971916971916972, -6.800976800976802, -0.7106227106227099, -5.462759462759463, -8.925518925518926, 2.6788766788766782, 6.19047619047619, 4.954822954822955, 5.711843711843711, 0.8962148962148948, 4.832722832722833, 3.8901098901098905, -9.013431013431013, 3.645909645909647, 5.609279609279609, -0.485958485958486, -8.27106227106227, -4.041514041514041, 3.7435897435897445, -7.211233211233211, -4.837606837606837, 3.474969474969477, 6.068376068376068, -7.865689865689866, 8.442002442002444, 0.5445665445665444])",0.9300770589539962,1.8576327643849397
6,-2.2859105345969715,"Individual(fitness=5.397381839655022, values=[8.407814407814406, 5.457875457875458, -2.0439560439560447, 9.995115995115995, -6.967032967032967, 9.213675213675213, 5.814407814407813, -7.684981684981684, 2.004884004884005, -0.6568986568986563, 9.956043956043956, -4.788766788766789, 7.875457875457876, 0.8962148962148948, 4.832722832722833, 3.8803418803418808, -2.4835164835164836, -6.356532356532357, 5.609279609279609, -0.485958485958486, -8.27106227106227, -4.041514041514041, 3.7435897435897445, -7.211233211233211, -4.837606837606837, 3.474969474969477, 6.068376068376068, -7.865689865689866, 8.442002442002444, 0.5445665445665444])",1.019396347743364,1.9565509648012405
7,-2.106503512000939,"Individual(fitness=5.45411746243033, values=[-5.741147741147741, 4.691086691086692, -8.837606837606838, 4.705738705738707, 7.03052503052503, -7.65079365079365, 4.012210012210012, -2.825396825396825, -8.925518925518926, 2.6788766788766782, 5.736263736263735, 7.733821733821735, 0.4322344322344325, -4.300366300366301, 4.832722832722833, 3.8901098901098905, -9.013431013431013, 3.645909645909647, 5.609279609279609, -0.485958485958486, -8.27106227106227, -4.041514041514041, 3.7435897435897445, -7.211233211233211, -4.837606837606837, 3.474969474969477, 5.0476190476190474, 6.957264957264957, -3.660561660561661, -6.986568986568987])",1.1461973712076243,2.0390924114050537
8,-1.8192577631303,"Individual(fitness=5.809080738760999, values=[3.5873015873015888, 2.0097680097680097, -3.0207570207570207, -5.956043956043956, -2.2002442002442004, 0.6715506715506709, 3.8266178266178272, 4.627594627594627, -1.6483516483516478, -7.601953601953602, -4.632478632478633, -4.9010989010989015, 0.5396825396825395, -4.261294261294262, -1.2771672771672762, -7.2991452991453, -8.114774114774114, 3.22100122100122, 7.650793650793652, 8.935286935286936, 5.57997557997558, -8.730158730158731, 3.6068376068376082, 5.1550671550671545, 6.55189255189255, -1.1599511599511594, -8.935286935286936, -7.865689865689866, 8.442002442002444, 0.5445665445665444])",1.2196741784376444,2.1084819794710827
9,-2.237508038269425,"Individual(fitness=6.258116548260582, values=[-5.741147741147741, 4.691086691086692, -8.837606837606838, 4.705738705738707, 7.03052503052503, -7.65079365079365, 4.012210012210012, -2.825396825396825, -8.925518925518926, 2.6788766788766782, 5.736263736263735, 7.733821733821735, 0.4322344322344325, -4.300366300366301, 4.832722832722833, 3.8901098901098905, -9.013431013431013, 3.645909645909647, 5.609279609279609, -0.485958485958486, -8.27106227106227, -4.041514041514041, 3.7435897435897445, -7.211233211233211, -4.837606837606837, 2.5909645909645906, -8.935286935286936, -7.865689865689866, 8.442002442002444, 0.5445665445665444])",1.3586087370724937,2.1307977002475638
10,-1.9150130262195089,"Individual(fitness=6.258116548260582, values=[-5.741147741147741, 4.691086691086692, -8.837606837606838, 4.705738705738707, 7.03052503052503, -7.65079365079365, 4.012210012210012, -2.825396825396825, -8.925518925518926, 2.6788766788766782, 5.736263736263735, 7.733821733821735, 0.4322344322344325, -4.300366300366301, 4.832722832722833, 3.8901098901098905, -9.013431013431013, 3.645909645909647, 5.609279609279609, -0.485958485958486, -8.27106227106227, -4.041514041514041, 3.7435897435897445, -7.211233211233211, -4.837606837606837, 2.5909645909645906, -8.935286935286936, -7.865689865689866, 8.442002442002444, 0.5445665445665444])",1.5081701974182082,2.226964383051046
