generation,best_fitness,best_individual,mean_fitness,std_dev
1,1614.1824334722482,"[-46.7791693723834, -81.9527279864846, 96.14943643811463, -95.95314934806711, -48.13216871562296, -18.250736054146117, 78.73566774353532, -50.32875703960373, 70.70423538407516, -94.72462336896194, -60.05392353418981, -15.696126430271605, -4.960376216168072, -93.21862088678832, 45.19396757689913, -34.655932286657304, -64.02631750065208, 24.060908536377696, -69.5754545200663, -22.2444863250643, -19.679495471008607, -35.83062750396702, 29.69726395336832, 78.23465386078331, -11.181531474731557, -73.76717203572105, 17.27535361598757, -87.61071353397251, 2.191766551837901, 24.593410885267872]",1614.936443080246,0.23883619762905076
2,1614.1824334722482,"[-46.7791693723834, -81.9527279864846, 96.14943643811463, -95.95314934806711, -48.13216871562296, -18.250736054146117, 78.73566774353532, -50.32875703960373, 70.70423538407516, -94.72462336896194, -60.05392353418981, -15.696126430271605, -4.960376216168072, -93.21862088678832, 45.19396757689913, -34.655932286657304, -64.02631750065208, 24.060908536377696, -69.5754545200663, -22.2444863250643, -19.679495471008607, -35.83062750396702, 29.69726395336832, 78.23465386078331, -11.181531474731557, -73.76717203572105, 17.27535361598757, -87.61071353397251, 2.191766551837901, 24.593410885267872]",1614.9888038110494,0.28399670070356137
3,1614.1824334722482,"[-46.7791693723834, -81.9527279864846, 96.14943643811463, -95.95314934806711, -48.13216871562296, -18.250736054146117, 78.73566774353532, -50.32875703960373, 70.70423538407516, -94.72462336896194, -60.05392353418981, -15.696126430271605, -4.960376216168072, -93.21862088678832, 45.19396757689913, -34.655932286657304, -64.02631750065208, 24.060908536377696, -69.5754545200663, -22.2444863250643, -19.679495471008607, -35.83062750396702, 29.69726395336832, 78.23465386078331, -11.181531474731557, -73.76717203572105, 17.27535361598757, -87.61071353397251, 2.191766551837901, 24.593410885267872]",1614.974112291027,0.2514037853934847
4,1613.9096483237668,"[-46.7791693723834, -81.9527279864846, 96.14943643811463, -95.95314934806711, -84.42810398425334, -18.250736054146117, 78.73566774353532, -50.32875703960373, 70.70423538407516, -94.72462336896194, -69.95975470219045, -15.696126430271605, -4.960376216168072, -93.21862088678832, 45.19396757689913, -34.655932286657304, -64.02631750065208, -93.74503916676879, 77.80745814770175, -22.2444863250643, -19.679495471008607, -35.83062750396702, 32.558633823926485, 78.23465386078331, -11.181531474731557, -73.76717203572105, 17.27535361598757, 0.31014330152790137, 24.543933364152068, 48.26593839366262]",1614.93931066173,0.29789546330978556
5,1613.9096483237668,"[-46.7791693723834, -81.9527279864846, 96.14943643811463, -95.95314934806711, -84.42810398425334, -18.250736054146117, 78.73566774353532, -50.32875703960373, 70.70423538407516, -94.72462336896194, -69.95975470219045, -15.696126430271605, -4.960376216168072, -93.21862088678832, 45.19396757689913, -34.655932286657304, -64.02631750065208, -93.74503916676879, 77.80745814770175, -22.2444863250643, -19.679495471008607, -35.83062750396702, 32.558633823926485, 78.23465386078331, -11.181531474731557, -73.76717203572105, 17.27535361598757, 0.31014330152790137, 24.543933364152068, 48.26593839366262]",1614.944553000411,0.29233499901717414
6,1613.8792635482778,"[-64.72381781319137, -74.13819939950969, 69.93891095259572, -109.4935843111015, -41.9611917553638, 16.774005463723782, 78.73566774353532, -50.32875703960373, 70.70423538407516, -94.72462336896194, -22.902588558135406, 170.56728313580442, -28.671030855934816, -63.79397517015941, 26.47986900447181, -10.893969815953781, 12.847220827861321, -42.9854264426811, -60.30198632741517, -41.29054991986103, -14.051787859956995, -3.213117811838373, -42.57802238573549, -9.523457195326827, -102.85257405824541, 70.5283869506597, -74.24758004605675, -27.816877773313635, -131.32106047308733, 185.33704180974664]",1614.9447541960533,0.32811128063548056
7,1613.7437007363474,"[-66.35532702274742, -81.9527279864846, 96.14943643811463, -95.95314934806711, -48.13216871562296, 87.04886294248335, 78.73566774353532, -40.252992782314465, 63.59586670216436, 73.4323601018138, -22.902588558135406, 13.16889834512746, -4.960376216168072, -115.90154265159747, -1.8712488079425, -66.14042948605433, -64.02631750065208, 24.060908536377696, -69.5754545200663, -22.2444863250643, -19.679495471008607, -35.83062750396702, 29.69726395336832, 78.23465386078331, -11.181531474731557, -73.76717203572105, 17.27535361598757, -87.61071353397251, 2.191766551837901, 24.593410885267872]",1614.9276659243383,0.3121242717094359
8,1613.7437007363474,"[-66.35532702274742, -81.9527279864846, 96.14943643811463, -95.95314934806711, -48.13216871562296, 87.04886294248335, 78.73566774353532, -40.252992782314465, 63.59586670216436, 73.4323601018138, -22.902588558135406, 13.16889834512746, -4.960376216168072, -115.90154265159747, -1.8712488079425, -66.14042948605433, -64.02631750065208, 24.060908536377696, -69.5754545200663, -22.2444863250643, -19.679495471008607, -35.83062750396702, 29.69726395336832, 78.23465386078331, -11.181531474731557, -73.76717203572105, 17.27535361598757, -87.61071353397251, 2.191766551837901, 24.593410885267872]",1614.9331462452753,0.33031161094326933
9,1613.7437007363474,"[-66.35532702274742, -81.9527279864846, 96.14943643811463, -95.95314934806711, -48.13216871562296, 87.04886294248335, 78.73566774353532, -40.252992782314465, 63.59586670216436, 73.4323601018138, -22.902588558135406, 13.16889834512746, -4.960376216168072, -115.90154265159747, -1.8712488079425, -66.14042948605433, -64.02631750065208, 24.060908536377696, -69.5754545200663, -22.2444863250643, -19.679495471008607, -35.83062750396702, 29.69726395336832, 78.23465386078331, -11.181531474731557, -73.76717203572105, 17.27535361598757, -87.61071353397251, 2.191766551837901, 24.593410885267872]",1614.8998622159468,0.3157430573128543
10,1613.7437007363474,"[-66.35532702274742, -81.9527279864846, 96.14943643811463, -95.95314934806711, -48.13216871562296, 87.04886294248335, 78.73566774353532, -40.252992782314465, 63.59586670216436, 73.4323601018138, -22.902588558135406, 13.16889834512746, -4.960376216168072, -115.90154265159747, -1.8712488079425, -66.14042948605433, -64.02631750065208, 24.060908536377696, -69.5754545200663, -22.2444863250643, -19.679495471008607, -35.83062750396702, 29.69726395336832, 78.23465386078331, -11.181531474731557, -73.76717203572105, 17.27535361598757, -87.61071353397251, 2.191766551837901, 24.593410885267872]",1614.9559675105688,0.38041587041268404
