generation,best_fitness,best_individual,mean_fitness,std_dev
1,-1.6214751973306005,"[2.1867185953181165, 1.5002901691208907]",-0.4193018630240279,0.35117247994452605
2,-1.7881953825312649,"[2.1867185953181165, 1.5855756177386695]",-0.6170495650629486,0.5074128801720691
3,-1.7881953825312649,"[2.1867185953181165, 1.5855756177386695]",-0.9014911158538781,0.519513689249622
4,-1.7881953825312649,"[2.1867185953181165, 1.5855756177386695]",-1.2814138238195412,0.3891885350900272
5,-1.7881953825312649,"[2.1867185953181165, 1.5855756177386695]",-1.4219472238324775,0.35087458515671643
6,-1.7881953825312649,"[2.1867185953181165, 1.5855756177386695]",-1.4976018379782354,0.43924783048540594
7,-1.7881953825312649,"[2.1867185953181165, 1.5855756177386695]",-1.535881168665611,0.45265148845883485
8,-1.790284729528729,"[2.1914258178192796, 1.5855756177386695]",-1.603886864617293,0.399889638890907
9,-1.790284729528729,"[2.1914258178192796, 1.5855756177386695]",-1.6612211332570868,0.3116243172180426
10,-1.790284729528729,"[2.1914258178192796, 1.5855756177386695]",-1.5804086469588068,0.45060681893743887
11,-1.790284729528729,"[2.1914258178192796, 1.5855756177386695]",-1.6118686034307308,0.38307053968547417
12,-1.790284729528729,"[2.1914258178192796, 1.5855756177386695]",-1.5228366847675405,0.49401312826226673
13,-1.790284729528729,"[2.1914258178192796, 1.5855756177386695]",-1.6040992973263875,0.38989834447035493
14,-1.790284729528729,"[2.1914258178192796, 1.5855756177386695]",-1.6246239961528335,0.4799377572964996
15,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6287313386287872,0.3658364790186145
16,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6189189447578303,0.36206962997656705
17,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6447713214523483,0.40899592620231495
18,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5378998156676331,0.48667287781776997
19,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6226116802499686,0.41840213793337283
20,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.610628088054645,0.40121508252097393
21,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5843422817348485,0.39281293004770285
22,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6729069050976535,0.310568830237337
23,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5794659879258284,0.40331959106295606
24,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6497378963910585,0.35575155353891835
25,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5874952845172385,0.40271973946846834
26,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5514324206319148,0.4438392250269276
27,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.581410470354109,0.44121455991016434
28,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6144219576247876,0.3830130908402335
29,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6590414691279054,0.3588997913907018
30,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5584034684580197,0.4398876815815173
31,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5956641595308045,0.42729743346718674
32,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5460381821235212,0.4992994731371378
33,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6620586690928345,0.32006891388950776
34,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5772237631524353,0.43077930573421697
35,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.537941887784292,0.5096481573985865
36,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5910405085480752,0.458048245396764
37,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5494355169565082,0.4669000224868979
38,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.633117828072084,0.36493992935522884
39,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5619740494201886,0.481353592695258
40,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5690383079654655,0.4505099493207273
41,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6310345132855775,0.3535714153918526
42,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.550200618781154,0.4719501735913425
43,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6661401434148004,0.35021188203930664
44,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5547014063152502,0.4494066553403307
45,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6005913706238137,0.39838457436385
46,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5955127383170877,0.4087047769521405
47,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6118496785137366,0.3811947186919624
48,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.557302239066394,0.4265189460454508
49,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6297313156715165,0.3566028410477349
50,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6166796064381932,0.42472004763801263
51,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.584847138774781,0.38375920379180833
52,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6347193563879643,0.3510286695631192
53,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5986203469036182,0.450648269351197
54,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5624838558512522,0.44007744089604317
55,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.542944022604563,0.4648797955097054
56,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6443791433246435,0.3323506219131204
57,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.577511768537529,0.43988157824305707
58,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5980908734155208,0.41743432661135
59,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.645239318116369,0.38021002890992106
60,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6311538362000118,0.4006228505900041
61,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6129365559376834,0.4009374168125078
62,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6326849923289517,0.3542255734442691
63,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.668029209435124,0.30818341016969547
64,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.653861771371437,0.32920450083314673
65,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6120117048043556,0.44227418889024633
66,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.587512355550546,0.5040503694109288
67,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6436190405310165,0.36807184247783736
68,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.577862398872719,0.43627941069677173
69,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6206749256102706,0.39593234925369153
70,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6389606074689402,0.39087948796744504
71,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5657966190385206,0.49715260821612506
72,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6763436995330798,0.37869842359458633
73,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6393497902353644,0.37953732377308386
74,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6115469422513726,0.39074281377520437
75,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6632235939351185,0.33756830908936236
76,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6506564200974436,0.3579655392434559
77,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6609775397730129,0.35638578509902397
78,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6607241083755213,0.36114360964984676
79,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5938083441853304,0.4141901276802504
80,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5099863090926084,0.4920036694812797
81,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6549636814863007,0.35722040197800115
82,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5580527697789754,0.4571522824330313
83,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6208474701109679,0.3747193207542395
84,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5374781914961952,0.4905223480693759
85,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6079534042224597,0.39820679456147434
86,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5324665585187804,0.5220293375114631
87,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5211538416688775,0.5023003924164852
88,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.62470359365208,0.403033390234648
89,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5730716828418396,0.4226004015085591
90,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6460936066288507,0.3645871514018918
91,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5682753402331242,0.4260811831235849
92,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6747810340783948,0.3189865468737237
93,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.544861109303224,0.4609073301384537
94,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.614784601489533,0.4383097621971852
95,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6132468667483193,0.4149709681878955
96,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6328412136022854,0.3991826579243571
97,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6728517269834342,0.30732209266065946
98,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6433608684500596,0.3876926620491546
99,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.620701818054668,0.4044128003143142
100,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.616818533665148,0.40368826998068685
101,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.638351006412568,0.3541162459058768
102,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5802721674631597,0.45619061315177317
103,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5268648818112858,0.43905463196033234
104,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6021768552901916,0.3701747904427291
105,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6412773790751962,0.362390535606009
106,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6175312964276614,0.42739985218614895
107,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6911128636459258,0.2758423349757799
108,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5992396439108427,0.4730432197271308
109,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.60995756894962,0.43946231820092735
110,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6077268148027934,0.4024491955288847
111,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5743898645149326,0.4194924478129395
112,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6454424852068892,0.349971455639184
113,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5147443207102587,0.44451298398323835
114,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6092753848543486,0.39111059309159635
115,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5760157818135618,0.45116464897733805
116,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6218681524993321,0.3721501066625306
117,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6265617395606526,0.3717899345584286
118,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6470936376057441,0.37974533084306294
119,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6039989281380957,0.4037136709358361
120,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6169704709978736,0.42930735911610374
121,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6481691469274238,0.3750599152261881
122,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5403081385372897,0.4398716937896119
123,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5366889010137887,0.45423068953360923
124,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6149114313155983,0.37932898031104284
125,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5841216584529192,0.41011424414436215
126,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.652204194325771,0.338236208888687
127,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5976949654914419,0.4522978535479659
128,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5379048831724345,0.4431821005087124
129,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6894555287468414,0.30602313950129906
130,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5946265660530006,0.45671128697684316
131,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5488801882322354,0.5010615862948484
132,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6297953986634641,0.3739010993132978
133,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5974329127932072,0.4029676618991163
134,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5930004910732973,0.44232027620693304
135,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6003522164100459,0.4332055356456515
136,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6709414106746292,0.35024123946344404
137,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.5759514628634121,0.418745050775806
138,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6495512045652265,0.3771414717486801
139,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6083802128999722,0.4324313167295516
140,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.7148823373612039,0.2940115653574496
141,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6389730845580084,0.3653354626076844
142,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6145187539757901,0.41386376571429634
143,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.6350144474520587,0.3619934143600315
144,-1.7922237989659622,"[2.1994894946097783, 1.5855756177386695]",-1.618005898528663,0.41628011473001225
