generation,best_fitness,best_individual,mean_fitness,std_dev
1,-2.497076974815187,"Individual(fitness=3.972233921534473, values=[-2.2246642246642248, 0.07570207570207543, -6.923076923076923, -9.912087912087912, 2.6739926739926734, 1.1990231990231983, -6.2686202686202686, 4.603174603174603, -2.2783882783882783, -7.787545787545787, -8.158730158730158, 0.24664224664224577, 4.398046398046398, 4.573870573870574, -0.5738705738705736, 5.145299145299145, -6.542124542124542, 0.11477411477411437, -7.743589743589744, -0.2857142857142865])",0.19109681679222432,1.279400107124354
2,-2.445989786559979,"Individual(fitness=4.988844430498346, values=[-2.2246642246642248, 0.07570207570207543, -6.923076923076923, -9.912087912087912, 4.52991452991453, -2.327228327228327, -0.8278388278388285, -0.7692307692307683, -6.410256410256411, -1.9120879120879124, 2.7472527472527464, -9.755799755799757, 4.398046398046398, 4.573870573870574, -0.5738705738705736, 5.145299145299145, -6.542124542124542, 0.11477411477411437, -7.743589743589744, -0.2857142857142865])",0.33375390463777427,1.4068746371441263
3,-2.2080364539241812,"Individual(fitness=4.988844430498346, values=[-2.2246642246642248, 0.07570207570207543, -6.923076923076923, -9.912087912087912, 4.52991452991453, -2.327228327228327, -0.8278388278388285, -0.7692307692307683, -6.410256410256411, -1.9120879120879124, 2.7472527472527464, -9.755799755799757, 4.398046398046398, 4.573870573870574, -0.5738705738705736, 5.145299145299145, -6.542124542124542, 0.11477411477411437, -7.743589743589744, -0.2857142857142865])",0.4494906994557871,1.4902003451416816
4,-2.1784142731952585,"Individual(fitness=4.988844430498346, values=[-2.2246642246642248, 0.07570207570207543, -6.923076923076923, -9.912087912087912, 4.52991452991453, -2.327228327228327, -0.8278388278388285, -0.7692307692307683, -6.410256410256411, -1.9120879120879124, 2.7472527472527464, -9.755799755799757, 4.398046398046398, 4.573870573870574, -0.5738705738705736, 5.145299145299145, -6.542124542124542, 0.11477411477411437, -7.743589743589744, -0.2857142857142865])",0.5367229836586633,1.6199757237634236
5,-1.6700060900412625,"Individual(fitness=4.988844430498346, values=[-2.2246642246642248, 0.07570207570207543, -6.923076923076923, -9.912087912087912, 4.52991452991453, -2.327228327228327, -0.8278388278388285, -0.7692307692307683, -6.410256410256411, -1.9120879120879124, 2.7472527472527464, -9.755799755799757, 4.398046398046398, 4.573870573870574, -0.5738705738705736, 5.145299145299145, -6.542124542124542, 0.11477411477411437, -7.743589743589744, -0.2857142857142865])",0.6889757854654195,1.7273155403917706
6,-1.785525763072318,"Individual(fitness=4.988844430498346, values=[-2.2246642246642248, 0.07570207570207543, -6.923076923076923, -9.912087912087912, 4.52991452991453, -2.327228327228327, -0.8278388278388285, -0.7692307692307683, -6.410256410256411, -1.9120879120879124, 2.7472527472527464, -9.755799755799757, 4.398046398046398, 4.573870573870574, -0.5738705738705736, 5.145299145299145, -6.542124542124542, 0.11477411477411437, -7.743589743589744, -0.2857142857142865])",0.8267407223121979,1.7614697833669115
7,-1.763125859165565,"Individual(fitness=5.354052961484712, values=[-2.2246642246642248, 0.07570207570207543, -6.923076923076923, -9.912087912087912, 4.52991452991453, -2.327228327228327, -0.8278388278388285, -0.7692307692307683, -6.410256410256411, -1.9120879120879124, 2.7472527472527464, -9.755799755799757, 4.398046398046398, 4.573870573870574, -0.485958485958486, 8.168498168498168, -1.9462759462759465, -0.8962148962148966, 0.2124542124542117, 2.9474969474969477])",0.9554806814022286,1.8181362396248426
8,-1.751070470609129,"Individual(fitness=5.354052961484712, values=[-2.2246642246642248, 0.07570207570207543, -6.923076923076923, -9.912087912087912, 4.52991452991453, -2.327228327228327, -0.8278388278388285, -0.7692307692307683, -6.410256410256411, -1.9120879120879124, 2.7472527472527464, -9.755799755799757, 4.398046398046398, 4.573870573870574, -0.485958485958486, 8.168498168498168, -1.9462759462759465, -0.8962148962148966, 0.2124542124542117, 2.9474969474969477])",1.0934561341882756,1.9008296439107186
9,-1.6889866738016273,"Individual(fitness=5.826902240029005, values=[-2.2246642246642248, 0.0659340659340657, -1.6581196581196576, 4.310134310134311, 4.52991452991453, -2.327228327228327, -0.8278388278388285, -0.7692307692307683, -6.410256410256411, -1.9120879120879124, 2.7472527472527464, -9.755799755799757, 4.398046398046398, 4.573870573870574, -0.485958485958486, 8.168498168498168, -1.9462759462759465, -0.8962148962148966, 0.2124542124542117, 2.9474969474969477])",1.2670402117855952,1.9811784913320545
10,-1.6474530889963812,"Individual(fitness=6.238422347589235, values=[-2.2246642246642248, 0.0659340659340657, -1.6581196581196576, 4.310134310134311, 4.52991452991453, -2.327228327228327, -0.8278388278388285, -0.7692307692307683, -6.410256410256411, -1.9120879120879124, 2.7472527472527464, -9.755799755799757, 4.398046398046398, 4.573870573870574, -0.5543345543345541, 5.145299145299145, -1.9462759462759465, -0.8962148962148966, 0.2124542124542117, 2.9474969474969477])",1.390149753593159,2.041981057369332
