generation,best_fitness,best_individual,mean_fitness,std_dev
1,1609.524819139572,"Individual(fitness=1610.7543171028253, values=[74.21245421245422, 45.34798534798534, -55.16483516483516, 34.21245421245419, 95.26251526251525, 25.567765567765562, 3.0525030525030417, -79.82905982905983, -26.446886446886438, 74.50549450549451, -17.85103785103786, 55.36019536019538, -21.41636141636141, 31.23321123321122, 67.61904761904762, -27.66788766788767, -12.332112332112331, -6.959706959706963, 18.632478632478637, -65.07936507936509])",1610.068387911782,0.21999051753583332
2,1609.5122060146227,"Individual(fitness=1610.9626376842834, values=[66.20268620268621, 72.79609279609281, -35.042735042735046, -20.244200244200243, 70.3052503052503, 14.236874236874229, -60.146520146520146, -51.6971916971917, -93.3089133089133, 3.7851037851038, -52.820512820512825, 69.42612942612942, 87.25274725274724, -59.65811965811966, 34.065934065934044, -49.352869352869355, -81.53846153846153, 43.833943833943835, -45.299145299145295, -36.068376068376075])",1610.1283591052722,0.2671946353261524
3,1609.5823539186251,"Individual(fitness=1610.9656392132893, values=[66.20268620268621, 72.79609279609281, -35.042735042735046, -20.244200244200243, 70.3052503052503, 14.236874236874229, -60.146520146520146, -51.6971916971917, -93.3089133089133, 3.7851037851038, -52.820512820512825, 69.42612942612942, 87.25274725274724, -59.65811965811966, 34.065934065934044, -49.352869352869355, -81.53846153846153, 43.833943833943835, -45.299145299145295, -35.97069597069597])",1610.2081777700366,0.2924064291785988
4,1609.6460628078962,"Individual(fitness=1611.156432863853, values=[66.20268620268621, 72.79609279609281, -45.78754578754579, 34.21245421245419, 95.26251526251525, 25.567765567765562, -60.146520146520146, -51.6971916971917, -93.3089133089133, 3.7851037851038, -52.820512820512825, 69.42612942612942, 87.25274725274724, -59.65811965811966, 34.065934065934044, -49.352869352869355, -81.53846153846153, 43.833943833943835, -45.299145299145295, -36.068376068376075])",1610.322906915625,0.3462758119455604
5,1609.6474175811836,"Individual(fitness=1611.2466591646912, values=[15.750915750915766, -83.4920634920635, -40.07326007326007, -3.736263736263737, 65.17704517704516, 36.01953601953602, -16.043956043956044, -46.86202686202686, 81.2942612942613, -4.761904761904773, -16.14163614163614, -54.09035409035409, 50.18315018315019, 62.63736263736263, -75.18925518925519, 82.46642246642247, -0.219780219780219, -16.58119658119658, 87.15506715506714, 4.322344322344335])",1610.431358135649,0.3418962214368109
6,1609.845236435376,"Individual(fitness=1611.2466591646912, values=[15.750915750915766, -83.4920634920635, -40.07326007326007, -3.736263736263737, 65.17704517704516, 36.01953601953602, -16.043956043956044, -46.86202686202686, 81.2942612942613, -4.761904761904773, -16.14163614163614, -54.09035409035409, 50.18315018315019, 62.63736263736263, -75.18925518925519, 82.46642246642247, -0.219780219780219, -16.58119658119658, 87.15506715506714, 4.322344322344335])",1610.5145878478943,0.378566836134103
7,1609.6272861017565,"Individual(fitness=1611.2466591646912, values=[15.750915750915766, -83.4920634920635, -40.07326007326007, -3.736263736263737, 65.17704517704516, 36.01953601953602, -16.043956043956044, -46.86202686202686, 81.2942612942613, -4.761904761904773, -16.14163614163614, -54.09035409035409, 50.18315018315019, 62.63736263736263, -75.18925518925519, 82.46642246642247, -0.219780219780219, -16.58119658119658, 87.15506715506714, 4.322344322344335])",1610.6031069187238,0.4079788279094318
8,1609.4669374546424,"Individual(fitness=1611.423634452777, values=[66.20268620268621, 72.79609279609281, -47.54578754578754, -20.244200244200243, 70.3052503052503, 14.236874236874229, -60.146520146520146, -51.6971916971917, -93.3089133089133, 3.7851037851038, -52.820512820512825, 69.42612942612942, 87.25274725274724, -59.65811965811966, 34.065934065934044, -49.352869352869355, -81.53846153846153, 43.833943833943835, -45.299145299145295, -36.068376068376075])",1610.7161987879324,0.4575011906838108
9,1609.8010401355255,"Individual(fitness=1611.6842850783753, values=[15.750915750915766, -83.4920634920635, -40.07326007326007, -3.736263736263737, 65.17704517704516, 36.01953601953602, -16.043956043956044, -46.86202686202686, 81.2942612942613, -4.761904761904773, -16.288156288156287, 55.31135531135533, 50.18315018315019, 62.63736263736263, -75.18925518925519, 82.46642246642247, -0.219780219780219, -16.58119658119658, 73.0891330891331, 16.825396825396837])",1610.8020614794216,0.4861410506697558
10,1609.90176210859,"Individual(fitness=1611.6842850783753, values=[15.750915750915766, -83.4920634920635, -40.07326007326007, -3.736263736263737, 65.17704517704516, 36.01953601953602, -16.043956043956044, -46.86202686202686, 81.2942612942613, -4.761904761904773, -16.288156288156287, 55.31135531135533, 50.18315018315019, 62.63736263736263, -75.18925518925519, 82.46642246642247, -0.219780219780219, -16.58119658119658, 73.0891330891331, 16.825396825396837])",1611.0200591316172,0.4185010873036328
11,1610.1371640662594,"Individual(fitness=1611.6842850783753, values=[15.750915750915766, -83.4920634920635, -40.07326007326007, -3.736263736263737, 65.17704517704516, 36.01953601953602, -16.043956043956044, -46.86202686202686, 81.2942612942613, -4.761904761904773, -16.288156288156287, 55.31135531135533, 50.18315018315019, 62.63736263736263, -75.18925518925519, 82.46642246642247, -0.219780219780219, -16.58119658119658, 73.0891330891331, 16.825396825396837])",1611.1653448881948,0.3735261487423659
12,1609.9737039796357,"Individual(fitness=1611.816875201685, values=[15.750915750915766, -83.4920634920635, -40.07326007326007, -3.736263736263737, 65.17704517704516, 36.01953601953602, -16.043956043956044, -46.86202686202686, 81.2942612942613, -4.761904761904773, -16.288156288156287, 55.31135531135533, 50.18315018315019, 62.63736263736263, -75.18925518925519, 82.46642246642247, -1.4896214896214843, 55.31135531135533, 87.15506715506714, -45.68986568986569])",1611.282450344949,0.37743865572420526
