generation,best_fitness,best_individual,mean_fitness,std_dev
1,1609.4882767819067,"Individual(fitness=1611.028582528342, values=[-37.142857142857146, 70.35409035409035, -2.3687423687423745, -11.25763125763126, 65.56776556776555, 68.54700854700855, -56.23931623931624, 8.91330891330891, 53.16239316239319, 40.610500610500594, 32.35653235653234, -95.06715506715507, -29.865689865689873, 94.28571428571428, -6.568986568986574, -28.205128205128204, -34.84737484737485, -88.96214896214896, 90.6227106227106, -57.16727716727717])",1610.0114091823204,0.25516195926444557
2,1609.5480201009264,"Individual(fitness=1611.028582528342, values=[-37.142857142857146, 70.35409035409035, -2.3687423687423745, -11.25763125763126, 65.56776556776555, 68.54700854700855, -56.23931623931624, 8.91330891330891, 53.16239316239319, 40.610500610500594, 32.35653235653234, -95.06715506715507, -29.865689865689873, 94.28571428571428, -6.568986568986574, -28.205128205128204, -34.84737484737485, -88.96214896214896, 90.6227106227106, -57.16727716727717])",1610.0228350446152,0.24310933412888097
3,1609.485086375738,"Individual(fitness=1611.028582528342, values=[-37.142857142857146, 70.35409035409035, -2.3687423687423745, -11.25763125763126, 65.56776556776555, 68.54700854700855, -56.23931623931624, 8.91330891330891, 53.16239316239319, 40.610500610500594, 32.35653235653234, -95.06715506715507, -29.865689865689873, 94.28571428571428, -6.568986568986574, -28.205128205128204, -34.84737484737485, -88.96214896214896, 90.6227106227106, -57.16727716727717])",1610.061009379371,0.3213781467410114
4,1609.5420630038827,"Individual(fitness=1611.028582528342, values=[-37.142857142857146, 70.35409035409035, -2.3687423687423745, -11.25763125763126, 65.56776556776555, 68.54700854700855, -56.23931623931624, 8.91330891330891, 53.16239316239319, 40.610500610500594, 32.35653235653234, -95.06715506715507, -29.865689865689873, 94.28571428571428, -6.568986568986574, -28.205128205128204, -34.84737484737485, -88.96214896214896, 90.6227106227106, -57.16727716727717])",1610.0933155883513,0.3130551292277655
5,1609.479175432606,"Individual(fitness=1611.033602277602, values=[-76.8986568986569, 42.759462759462764, -42.710622710622715, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.0770517408396,0.3432037121298338
6,1609.498078544889,"Individual(fitness=1611.033602277602, values=[-76.8986568986569, 42.759462759462764, -42.710622710622715, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.0940339405136,0.3480074033901534
7,1609.4111592843226,"Individual(fitness=1611.033602277602, values=[-76.8986568986569, 42.759462759462764, -42.710622710622715, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1008999569326,0.35247134686784315
8,1609.4111592843226,"Individual(fitness=1611.056477189336, values=[-37.142857142857146, 70.35409035409035, -2.3687423687423745, -11.25763125763126, 65.56776556776555, 68.54700854700855, -56.23931623931624, 8.91330891330891, 53.16239316239319, 40.610500610500594, 32.35653235653234, -95.06715506715507, -29.865689865689873, 94.28571428571428, -6.568986568986574, -28.205128205128204, -34.84737484737485, -89.05982905982906, -77.92429792429792, -93.84615384615384])",1610.1042692490566,0.3494748735966351
9,1609.37300672512,"Individual(fitness=1611.056477189336, values=[-37.142857142857146, 70.35409035409035, -2.3687423687423745, -11.25763125763126, 65.56776556776555, 68.54700854700855, -56.23931623931624, 8.91330891330891, 53.16239316239319, 40.610500610500594, 32.35653235653234, -95.06715506715507, -29.865689865689873, 94.28571428571428, -6.568986568986574, -28.205128205128204, -34.84737484737485, -89.05982905982906, -77.92429792429792, -93.84615384615384])",1610.0919828732633,0.3614930924134531
10,1609.2551900532212,"Individual(fitness=1611.056477189336, values=[-37.142857142857146, 70.35409035409035, -2.3687423687423745, -11.25763125763126, 65.56776556776555, 68.54700854700855, -56.23931623931624, 8.91330891330891, 53.16239316239319, 40.610500610500594, 32.35653235653234, -95.06715506715507, -29.865689865689873, 94.28571428571428, -6.568986568986574, -28.205128205128204, -34.84737484737485, -89.05982905982906, -77.92429792429792, -93.84615384615384])",1610.0779385602448,0.3666030129470092
11,1609.4108229213723,"Individual(fitness=1611.056477189336, values=[-37.142857142857146, 70.35409035409035, -2.3687423687423745, -11.25763125763126, 65.56776556776555, 68.54700854700855, -56.23931623931624, 8.91330891330891, 53.16239316239319, 40.610500610500594, 32.35653235653234, -95.06715506715507, -29.865689865689873, 94.28571428571428, -6.568986568986574, -28.205128205128204, -34.84737484737485, -89.05982905982906, -77.92429792429792, -93.84615384615384])",1610.0587636694913,0.3708582548271228
12,1609.4936373743824,"Individual(fitness=1611.056477189336, values=[-37.142857142857146, 70.35409035409035, -2.3687423687423745, -11.25763125763126, 65.56776556776555, 68.54700854700855, -56.23931623931624, 8.91330891330891, 53.16239316239319, 40.610500610500594, 32.35653235653234, -95.06715506715507, -29.865689865689873, 94.28571428571428, -6.568986568986574, -28.205128205128204, -34.84737484737485, -89.05982905982906, -77.92429792429792, -93.84615384615384])",1610.1085118431724,0.33568180464533814
13,1609.537950839018,"Individual(fitness=1611.056477189336, values=[-37.142857142857146, 70.35409035409035, -2.3687423687423745, -11.25763125763126, 65.56776556776555, 68.54700854700855, -56.23931623931624, 8.91330891330891, 53.16239316239319, 40.610500610500594, 32.35653235653234, -95.06715506715507, -29.865689865689873, 94.28571428571428, -6.568986568986574, -28.205128205128204, -34.84737484737485, -89.05982905982906, -77.92429792429792, -93.84615384615384])",1610.1052506488468,0.3450007281634933
14,1609.6305698147305,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1301245919062,0.3981409321837294
15,1609.618978418325,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1281060710596,0.3670316921153853
16,1609.593565213524,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1390178198426,0.37703047110913274
17,1609.4089717594516,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.0805254649379,0.37236933483676427
18,1609.6077935419867,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1281867240411,0.34609774173321733
19,1609.5076249816814,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.120527035392,0.32327074974693754
20,1609.6212685941348,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1495358996178,0.3319764023967019
21,1609.6062955879077,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1501990670506,0.36011348727834674
22,1609.5512326188843,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1496426984124,0.3800574719805284
23,1609.6527453962285,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1760048245126,0.3904215669825183
24,1609.7206883249364,"Individual(fitness=1611.1490239558689, values=[-76.8986568986569, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1655470811233,0.40414160800240007
25,1609.6007919382284,"Individual(fitness=1611.150473766001, values=[-83.15018315018315, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.161656632726,0.40416356066896986
26,1609.5311044685257,"Individual(fitness=1611.150473766001, values=[-83.15018315018315, 42.759462759462764, -43.492063492063494, -8.18070818070818, -3.882783882783883, -33.38217338217339, 98.48595848595849, 35.18925518925519, 92.38095238095238, 8.864468864468861, -7.203907203907207, -20.097680097680097, -52.91819291819292, -24.88400488400488, -42.02686202686202, 92.13675213675214, -66.6910866910867, -77.48473748473748, -10.671550671550662, -51.15995115995116])",1610.1683340287618,0.40655787892070133
27,1609.5311044685257,"Individual(fitness=1611.2611435382369, values=[-76.8986568986569, 42.759462759462764, -42.710622710622715, -8.18070818070818, -0.46398046398046233, 63.32112332112331, -11.794871794871796, -65.66544566544567, 1.1477411477411437, 33.52869352869351, -15.11599511599512, -1.8315018315018392, 24.15140415140415, -35.97069597069597, -54.969474969474966, 29.719169719169713, -17.704517704517713, 97.60683760683762, -42.51526251526252, 41.636141636141645])",1610.1697335842432,0.445254277664362
28,1609.4820664154631,"Individual(fitness=1611.2611435382369, values=[-76.8986568986569, 42.759462759462764, -42.710622710622715, -8.18070818070818, -0.46398046398046233, 63.32112332112331, -11.794871794871796, -65.66544566544567, 1.1477411477411437, 33.52869352869351, -15.11599511599512, -1.8315018315018392, 24.15140415140415, -35.97069597069597, -54.969474969474966, 29.719169719169713, -17.704517704517713, 97.60683760683762, -42.51526251526252, 41.636141636141645])",1610.1742596327722,0.43732386536349577
