generation,best_fitness,best_individual,mean_fitness,std_dev
1,1604.5054982436604,"Individual(fitness=1604.5054982436604, values=[66.05616605616606, -21.562881562881557, -96.04395604395604, 88.6202686202686, 37.77777777777777, -40.07326007326007, 7.106227106227109, 75.0915750915751, 19.560439560439562, -43.1990231990232])",1604.982650583319,0.17162208189218942
2,1604.5054982436604,"Individual(fitness=1604.5054982436604, values=[66.05616605616606, -21.562881562881557, -96.04395604395604, 88.6202686202686, 37.77777777777777, -40.07326007326007, 7.106227106227109, 75.0915750915751, 19.560439560439562, -43.1990231990232])",1604.980893235772,0.1715948490507102
3,1604.5054982436604,"Individual(fitness=1604.5054982436604, values=[66.05616605616606, -21.562881562881557, -96.04395604395604, 88.6202686202686, 37.77777777777777, -40.07326007326007, 7.106227106227109, 75.0915750915751, 19.560439560439562, -43.1990231990232])",1604.9725522057695,0.1690907711048777
4,1603.9554868558869,"Individual(fitness=1603.9554868558869, values=[-65.27472527472528, -64.49328449328449, -91.64835164835165, -27.66788766788767, -46.227106227106226, -6.813186813186817, 42.56410256410257, 34.017094017093996, -4.859584859584871, 40.75702075702077])",1604.9257390184055,0.2025776541279263
5,1603.9554868558869,"Individual(fitness=1603.9554868558869, values=[-65.27472527472528, -64.49328449328449, -91.64835164835165, -27.66788766788767, -46.227106227106226, -6.813186813186817, 42.56410256410257, 34.017094017093996, -4.859584859584871, 40.75702075702077])",1604.942927359815,0.19104441210926998
6,1603.9554868558869,"Individual(fitness=1603.9554868558869, values=[-65.27472527472528, -64.49328449328449, -91.64835164835165, -27.66788766788767, -46.227106227106226, -6.813186813186817, 42.56410256410257, 34.017094017093996, -4.859584859584871, 40.75702075702077])",1604.9473341283558,0.19747081431418295
7,1603.9554868558869,"Individual(fitness=1603.9554868558869, values=[-65.27472527472528, -64.49328449328449, -91.64835164835165, -27.66788766788767, -46.227106227106226, -6.813186813186817, 42.56410256410257, 34.017094017093996, -4.859584859584871, 40.75702075702077])",1604.9270026516713,0.23761369348570363
8,1603.9554868558869,"Individual(fitness=1603.9554868558869, values=[-65.27472527472528, -64.49328449328449, -91.64835164835165, -27.66788766788767, -46.227106227106226, -6.813186813186817, 42.56410256410257, 34.017094017093996, -4.859584859584871, 40.75702075702077])",1604.9220975531846,0.2691857077068859
9,1603.9213300962033,"Individual(fitness=1603.9213300962033, values=[-65.27472527472528, -64.49328449328449, -91.64835164835165, -27.66788766788767, -46.227106227106226, -6.813186813186817, 42.56410256410257, 34.017094017093996, -4.859584859584871, 41.53846153846155])",1604.9040673730628,0.2788711070360248
10,1603.9213300962033,"Individual(fitness=1603.9213300962033, values=[-65.27472527472528, -64.49328449328449, -91.64835164835165, -27.66788766788767, -46.227106227106226, -6.813186813186817, 42.56410256410257, 34.017094017093996, -4.859584859584871, 41.53846153846155])",1604.908187861049,0.30588170675201914
11,1603.9213300962033,"Individual(fitness=1603.9213300962033, values=[-65.27472527472528, -64.49328449328449, -91.64835164835165, -27.66788766788767, -46.227106227106226, -6.813186813186817, 42.56410256410257, 34.017094017093996, -4.859584859584871, 41.53846153846155])",1604.8914320517686,0.30368486251074345
12,1603.9213300962033,"Individual(fitness=1603.9213300962033, values=[-65.27472527472528, -64.49328449328449, -91.64835164835165, -27.66788766788767, -46.227106227106226, -6.813186813186817, 42.56410256410257, 34.017094017093996, -4.859584859584871, 41.53846153846155])",1604.88724656738,0.32776175259403706
