generation,best_fitness,best_individual,mean_fitness,std_dev
1,-2.2936287779554188,"Individual(fitness=-2.2936287779554188, values=[2.3590694139194137, 1.617976388278388, 1.3134071013431012, 1.7437934236874237, 2.049129887667888])",-0.7232905581779194,0.5823901402949206
2,-2.5881115480121597,"Individual(fitness=-2.5881115480121597, values=[1.5765488278388278, 1.617976388278388, 1.2643077704517705, 2.138122424908425, 2.2087027130647128])",-0.8444784436923023,0.6542548816953253
3,-3.0741000906798406,"Individual(fitness=-3.0741000906798406, values=[2.207168358974359, 1.5911251916971916, 0.7188448913308912, 1.140025089133089, 0.9144750378510379])",-0.9968511031623974,0.7170802120083092
4,-3.0741000906798406,"Individual(fitness=-3.0741000906798406, values=[2.207168358974359, 1.5911251916971916, 0.7188448913308912, 1.140025089133089, 0.9144750378510379])",-1.1560298174694097,0.7403395420155688
5,-3.0741000906798406,"Individual(fitness=-3.0741000906798406, values=[2.207168358974359, 1.5911251916971916, 0.7188448913308912, 1.140025089133089, 0.9144750378510379])",-1.2055822427511937,0.6762131473960088
6,-3.089841564765595,"Individual(fitness=-3.089841564765595, values=[2.395893912087912, 1.599564139194139, 2.1757141001221, 1.8673089279609278, 0.9643415457875458])",-1.2680202338737747,0.680223713825729
7,-3.3914471167332154,"Individual(fitness=-3.3914471167332154, values=[2.3498632893772893, 1.6187435653235651, 1.308036862026862, 1.9447938095238095, 0.8753490085470086])",-1.461479278921378,0.7324274221409224
8,-3.6218401107817337,"Individual(fitness=-3.6218401107817337, values=[2.1810843394383395, 1.5911251916971916, 1.3203116947496947, 1.1653419316239315, 0.8807192478632478])",-1.642490672987107,0.7416834096933058
9,-3.6218401107817337,"Individual(fitness=-3.6218401107817337, values=[2.1810843394383395, 1.5911251916971916, 1.3203116947496947, 1.1653419316239315, 0.8807192478632478])",-1.846358033978463,0.7138390117154997
10,-3.6218401107817337,"Individual(fitness=-3.6218401107817337, values=[2.1810843394383395, 1.5911251916971916, 1.3203116947496947, 1.1653419316239315, 0.8807192478632478])",-2.047511038347487,0.7822810757628298
