generation,best_fitness,best_individual,mean_fitness,std_dev
1,1613.939780985979,"Individual(fitness=1613.939780985979, values=[-70.74481074481074, -2.0757020757020825, -23.76068376068376, -11.550671550671552, 82.90598290598291, 31.037851037851027, 41.34310134310135, -77.48473748473748, 37.77777777777777, -34.45665445665446, -83.98046398046398, 92.03907203907204, -92.86935286935287, -24.053724053724054, -54.676434676434674, 56.67887667887669, 28.449328449328448, -73.52869352869352, -83.63858363858364, 97.50915750915752, 64.73748473748472, 63.95604395604394, 89.64590964590963, 57.655677655677664, 87.44810744810744, -74.65201465201466, 1.684981684981679, -78.65689865689866, -68.84004884004884, 84.46886446886447])",1614.9763267499102,0.29799974953879765
2,1613.8697248151698,"Individual(fitness=1613.8697248151698, values=[-76.5079365079365, -1.1477411477411437, 30.647130647130638, 64.10256410256409, -7.594627594627596, 33.57753357753356, 92.96703296703296, 71.18437118437117, -23.174603174603163, -34.45665445665446, -83.98046398046398, 92.03907203907204, -92.86935286935287, -24.053724053724054, -54.676434676434674, 56.67887667887669, 28.449328449328448, -73.52869352869352, -83.63858363858364, 97.50915750915752, 64.73748473748472, 63.95604395604394, 89.64590964590963, 57.655677655677664, 85.006105006105, -67.66788766788767, -15.84859584859585, -17.655677655677664, 5.885225885225893, 70.1098901098901])",1614.954969369188,0.33661428048233133
3,1613.8697248151698,"Individual(fitness=1613.8697248151698, values=[-76.5079365079365, -1.1477411477411437, 30.647130647130638, 64.10256410256409, -7.594627594627596, 33.57753357753356, 92.96703296703296, 71.18437118437117, -23.174603174603163, -34.45665445665446, -83.98046398046398, 92.03907203907204, -92.86935286935287, -24.053724053724054, -54.676434676434674, 56.67887667887669, 28.449328449328448, -73.52869352869352, -83.63858363858364, 97.50915750915752, 64.73748473748472, 63.95604395604394, 89.64590964590963, 57.655677655677664, 85.006105006105, -67.66788766788767, -15.84859584859585, -17.655677655677664, 5.885225885225893, 70.1098901098901])",1614.933689116167,0.3206013710233073
4,1613.8697248151698,"Individual(fitness=1613.8697248151698, values=[-76.5079365079365, -1.1477411477411437, 30.647130647130638, 64.10256410256409, -7.594627594627596, 33.57753357753356, 92.96703296703296, 71.18437118437117, -23.174603174603163, -34.45665445665446, -83.98046398046398, 92.03907203907204, -92.86935286935287, -24.053724053724054, -54.676434676434674, 56.67887667887669, 28.449328449328448, -73.52869352869352, -83.63858363858364, 97.50915750915752, 64.73748473748472, 63.95604395604394, 89.64590964590963, 57.655677655677664, 85.006105006105, -67.66788766788767, -15.84859584859585, -17.655677655677664, 5.885225885225893, 70.1098901098901])",1614.9685746340888,0.30258799272473785
5,1613.8697248151698,"Individual(fitness=1613.8697248151698, values=[-76.5079365079365, -1.1477411477411437, 30.647130647130638, 64.10256410256409, -7.594627594627596, 33.57753357753356, 92.96703296703296, 71.18437118437117, -23.174603174603163, -34.45665445665446, -83.98046398046398, 92.03907203907204, -92.86935286935287, -24.053724053724054, -54.676434676434674, 56.67887667887669, 28.449328449328448, -73.52869352869352, -83.63858363858364, 97.50915750915752, 64.73748473748472, 63.95604395604394, 89.64590964590963, 57.655677655677664, 85.006105006105, -67.66788766788767, -15.84859584859585, -17.655677655677664, 5.885225885225893, 70.1098901098901])",1614.9487178616782,0.28704781090132614
6,1613.8697248151698,"Individual(fitness=1613.8697248151698, values=[-76.5079365079365, -1.1477411477411437, 30.647130647130638, 64.10256410256409, -7.594627594627596, 33.57753357753356, 92.96703296703296, 71.18437118437117, -23.174603174603163, -34.45665445665446, -83.98046398046398, 92.03907203907204, -92.86935286935287, -24.053724053724054, -54.676434676434674, 56.67887667887669, 28.449328449328448, -73.52869352869352, -83.63858363858364, 97.50915750915752, 64.73748473748472, 63.95604395604394, 89.64590964590963, 57.655677655677664, 85.006105006105, -67.66788766788767, -15.84859584859585, -17.655677655677664, 5.885225885225893, 70.1098901098901])",1614.9444662469548,0.32192364045435307
7,1613.8697248151698,"Individual(fitness=1613.8697248151698, values=[-76.5079365079365, -1.1477411477411437, 30.647130647130638, 64.10256410256409, -7.594627594627596, 33.57753357753356, 92.96703296703296, 71.18437118437117, -23.174603174603163, -34.45665445665446, -83.98046398046398, 92.03907203907204, -92.86935286935287, -24.053724053724054, -54.676434676434674, 56.67887667887669, 28.449328449328448, -73.52869352869352, -83.63858363858364, 97.50915750915752, 64.73748473748472, 63.95604395604394, 89.64590964590963, 57.655677655677664, 85.006105006105, -67.66788766788767, -15.84859584859585, -17.655677655677664, 5.885225885225893, 70.1098901098901])",1614.912389643595,0.3424079841247676
8,1613.8697248151698,"Individual(fitness=1613.8697248151698, values=[-76.5079365079365, -1.1477411477411437, 30.647130647130638, 64.10256410256409, -7.594627594627596, 33.57753357753356, 92.96703296703296, 71.18437118437117, -23.174603174603163, -34.45665445665446, -83.98046398046398, 92.03907203907204, -92.86935286935287, -24.053724053724054, -54.676434676434674, 56.67887667887669, 28.449328449328448, -73.52869352869352, -83.63858363858364, 97.50915750915752, 64.73748473748472, 63.95604395604394, 89.64590964590963, 57.655677655677664, 85.006105006105, -67.66788766788767, -15.84859584859585, -17.655677655677664, 5.885225885225893, 70.1098901098901])",1614.959074373563,0.29608732405528543
9,1613.8697248151698,"Individual(fitness=1613.8697248151698, values=[-76.5079365079365, -1.1477411477411437, 30.647130647130638, 64.10256410256409, -7.594627594627596, 33.57753357753356, 92.96703296703296, 71.18437118437117, -23.174603174603163, -34.45665445665446, -83.98046398046398, 92.03907203907204, -92.86935286935287, -24.053724053724054, -54.676434676434674, 56.67887667887669, 28.449328449328448, -73.52869352869352, -83.63858363858364, 97.50915750915752, 64.73748473748472, 63.95604395604394, 89.64590964590963, 57.655677655677664, 85.006105006105, -67.66788766788767, -15.84859584859585, -17.655677655677664, 5.885225885225893, 70.1098901098901])",1614.9901205873896,0.3075530480746352
10,1613.8697248151698,"Individual(fitness=1613.8697248151698, values=[-76.5079365079365, -1.1477411477411437, 30.647130647130638, 64.10256410256409, -7.594627594627596, 33.57753357753356, 92.96703296703296, 71.18437118437117, -23.174603174603163, -34.45665445665446, -83.98046398046398, 92.03907203907204, -92.86935286935287, -24.053724053724054, -54.676434676434674, 56.67887667887669, 28.449328449328448, -73.52869352869352, -83.63858363858364, 97.50915750915752, 64.73748473748472, 63.95604395604394, 89.64590964590963, 57.655677655677664, 85.006105006105, -67.66788766788767, -15.84859584859585, -17.655677655677664, 5.885225885225893, 70.1098901098901])",1614.9637764691906,0.2995931796007207
