generation,best_fitness,best_individual,mean_fitness,std_dev
1,-2.440657518700008,"Individual(fitness=-2.440657518700008, values=[2.1059009890109888, 2.6843524810744808, 1.3387239438339438, 1.0410592503052503, 0.0])",-0.7145169436101027,0.5734901832957634
2,-2.5535602740793655,"Individual(fitness=-2.5535602740793655, values=[1.8251141904761905, 1.5059685396825397, 1.2290176263736263, 1.0778837484737485, 0.8040015433455433])",-0.9817322002982725,0.633243031620211
3,-3.3463418297780185,"Individual(fitness=-3.3463418297780185, values=[2.223279076923077, 2.791757267399267, 1.2543344688644689, 1.9072021343101342, 0.934421641025641])",-1.1229298139436106,0.6647445449580699
4,-3.3463418297780185,"Individual(fitness=-3.3463418297780185, values=[2.223279076923077, 2.791757267399267, 1.2543344688644689, 1.9072021343101342, 0.934421641025641])",-1.218508577883847,0.697879233837169
5,-3.4553661955857855,"Individual(fitness=-3.4553661955857855, values=[2.1856874017094015, 2.816306932844933, 1.2597047081807082, 1.9317517997557998, 1.035689010989011])",-1.4184352843291974,0.7769381255153869
6,-3.4553661955857855,"Individual(fitness=-3.4553661955857855, values=[2.1856874017094015, 2.816306932844933, 1.2597047081807082, 1.9317517997557998, 1.035689010989011])",-1.6817205774880795,0.674133578044587
7,-3.4553661955857855,"Individual(fitness=-3.4553661955857855, values=[2.1856874017094015, 2.816306932844933, 1.2597047081807082, 1.9317517997557998, 1.035689010989011])",-1.7777484021267564,0.6688904166321635
8,-3.4553661955857855,"Individual(fitness=-3.4553661955857855, values=[2.1856874017094015, 2.816306932844933, 1.2597047081807082, 1.9317517997557998, 1.035689010989011])",-1.8450186177383927,0.6314631393628192
9,-3.4553661955857855,"Individual(fitness=-3.4553661955857855, values=[2.1856874017094015, 2.816306932844933, 1.2597047081807082, 1.9317517997557998, 1.035689010989011])",-1.8121545607027219,0.694409072938069
10,-3.6032322021577357,"Individual(fitness=-3.6032322021577357, values=[2.2708440537240535, 1.6655413650793651, 1.3325865274725275, 1.8811181147741147, 2.20946989010989])",-1.9987944092748842,0.728073527967445
11,-3.6032322021577357,"Individual(fitness=-3.6032322021577357, values=[2.2708440537240535, 1.6655413650793651, 1.3325865274725275, 1.8811181147741147, 2.20946989010989])",-2.1082485317455926,0.6810743406164812
