generation,best_fitness,best_individual,mean_fitness,std_dev
1,1614.1779560496295,"Individual(Real, fitness=1614.1779560496295, values=[-3.4333769079137397, 7.157504107695985, -15.850647568971738, -15.64097360064764, -14.74289300756466, -61.913650977869786, 89.69105525128509, -52.63235676782574, 95.43784914592004, -99.87742740491534, -89.58448284402756, 71.65559995040283, 2.2387112797040487, 5.421424880304372, -22.577543962843905, -81.44795590027113, -97.27721967273497, 23.31930777150839, -89.15837863998001, 85.39608680680334, -85.45910737026344, 30.529028760235292, 43.9389523895193, 54.35603805608895, 86.67503261047011, -40.73375932483157, -32.95403517914153, -94.01344810457238, 29.06474639368244, -35.69599171342112])",1614.9871453151452,0.2735714179898625
2,1614.0987605965777,"Individual(Real, fitness=1614.0987605965777, values=[2.4744485631668507, 16.564508023187912, -19.15796924596323, -50.31883758263634, 15.586295928824203, -8.47122816875739, -26.212385104306726, 3.8607795194874157, 25.265578399514375, 8.817063430540866, -17.543528862321207, -30.393634616627892, -1.1058910488725449, 33.20421855979117, 34.08621342018901, 10.36515336152468, 13.949480889089973, -0.7323845762055861, 53.3052749173665, 3.7734095652222734, -6.830547354822457, -36.415447688023, -46.98127003129061, -45.32016529010135, -15.096678029362007, -22.420390852930428, -59.61308327967365, 8.929374779018374, 25.911118875268112, -2.554097465719323])",1614.9033912968341,0.3332534231656449
3,1614.0987605965777,"Individual(Real, fitness=1614.0987605965777, values=[2.4744485631668507, 16.564508023187912, -19.15796924596323, -50.31883758263634, 15.586295928824203, -8.47122816875739, -26.212385104306726, 3.8607795194874157, 25.265578399514375, 8.817063430540866, -17.543528862321207, -30.393634616627892, -1.1058910488725449, 33.20421855979117, 34.08621342018901, 10.36515336152468, 13.949480889089973, -0.7323845762055861, 53.3052749173665, 3.7734095652222734, -6.830547354822457, -36.415447688023, -46.98127003129061, -45.32016529010135, -15.096678029362007, -22.420390852930428, -59.61308327967365, 8.929374779018374, 25.911118875268112, -2.554097465719323])",1614.8661832963726,0.3748424005994966
4,1614.0987605965777,"Individual(Real, fitness=1614.0987605965777, values=[2.4744485631668507, 16.564508023187912, -19.15796924596323, -50.31883758263634, 15.586295928824203, -8.47122816875739, -26.212385104306726, 3.8607795194874157, 25.265578399514375, 8.817063430540866, -17.543528862321207, -30.393634616627892, -1.1058910488725449, 33.20421855979117, 34.08621342018901, 10.36515336152468, 13.949480889089973, -0.7323845762055861, 53.3052749173665, 3.7734095652222734, -6.830547354822457, -36.415447688023, -46.98127003129061, -45.32016529010135, -15.096678029362007, -22.420390852930428, -59.61308327967365, 8.929374779018374, 25.911118875268112, -2.554097465719323])",1614.9199795818204,0.33977549664611206
5,1613.9814559545898,"Individual(Real, fitness=1613.9814559545898, values=[2.167288294501771, -7.690357166593801, 10.396479071228685, -7.7653357182370595, 24.150508474230342, -20.352830682546184, -6.146109541042797, -54.66764588527735, 10.309939225765124, -15.89429258424823, -9.8617253474694, -9.299861584491449, 24.038478598768844, 19.791112324551392, 0.2964899691729954, 15.689798015250764, 18.331150680163034, 0.7242944666249751, 3.4793002131793616, -10.215496036922467, 16.61546373587626, -32.084391800146534, -18.51870306595618, -40.09594850926841, -29.250127502876076, 12.209676433892652, -27.49283874077564, -6.042501056130759, 3.8128627225025253, -15.703457258220759])",1614.9381181330014,0.5119290161377626
6,1613.6355608529084,"Individual(Real, fitness=1613.6355608529084, values=[-8.979593209594222, -21.355806808940265, -6.424506265845553, -22.98991652441521, 14.783142564236226, -5.408231076874269, -16.96284552506382, -41.805985524913766, 38.68702185304737, -24.94244947434607, -27.08065669232115, 5.550766644268286, 27.25162039465925, 24.306659237962073, 7.170847509114996, 9.07749195322491, 2.426336316235977, 3.802716767242228, -5.779127091384367, 5.897837792137578, 3.174596329697893, -12.572869301780216, 0.5804806133139024, -23.363895598197562, -7.865487846190526, 19.974329399351415, -39.0500646906626, -12.88754360207099, 13.347607645131797, -22.99318165965331])",1614.8458861492675,0.5652525942507513
7,1613.565222673738,"Individual(Real, fitness=1613.565222673738, values=[-1.6381296226854263, -16.584946559419702, 15.44214953584698, -8.476217716236812, 30.53690354575491, 8.622682963869217, -5.9008670960970235, -50.29269882309811, 30.669793445591104, -12.925198625589292, -7.771845723891602, -8.989883136288373, 20.082716350275447, 25.413444862134412, -13.94347608770373, 13.027171383016096, 32.810113474057346, 13.560244652638085, 3.3473699362039238, 7.998424421898617, 23.699172078219284, -10.079204508071873, -11.951000185349017, -21.077440282666963, -19.811863969199727, 16.967629202858387, -3.5353768259321026, -18.448285190936012, -6.232707919022987, -26.703496919423085])",1614.7839360654766,0.6425264786358378
8,1613.565222673738,"Individual(Real, fitness=1613.565222673738, values=[-1.6381296226854263, -16.584946559419702, 15.44214953584698, -8.476217716236812, 30.53690354575491, 8.622682963869217, -5.9008670960970235, -50.29269882309811, 30.669793445591104, -12.925198625589292, -7.771845723891602, -8.989883136288373, 20.082716350275447, 25.413444862134412, -13.94347608770373, 13.027171383016096, 32.810113474057346, 13.560244652638085, 3.3473699362039238, 7.998424421898617, 23.699172078219284, -10.079204508071873, -11.951000185349017, -21.077440282666963, -19.811863969199727, 16.967629202858387, -3.5353768259321026, -18.448285190936012, -6.232707919022987, -26.703496919423085])",1614.8309240234892,0.6185171373508618
9,1613.565222673738,"Individual(Real, fitness=1613.565222673738, values=[-1.6381296226854263, -16.584946559419702, 15.44214953584698, -8.476217716236812, 30.53690354575491, 8.622682963869217, -5.9008670960970235, -50.29269882309811, 30.669793445591104, -12.925198625589292, -7.771845723891602, -8.989883136288373, 20.082716350275447, 25.413444862134412, -13.94347608770373, 13.027171383016096, 32.810113474057346, 13.560244652638085, 3.3473699362039238, 7.998424421898617, 23.699172078219284, -10.079204508071873, -11.951000185349017, -21.077440282666963, -19.811863969199727, 16.967629202858387, -3.5353768259321026, -18.448285190936012, -6.232707919022987, -26.703496919423085])",1614.8141116074403,0.5977657052097419
10,1613.565222673738,"Individual(Real, fitness=1613.565222673738, values=[-1.6381296226854263, -16.584946559419702, 15.44214953584698, -8.476217716236812, 30.53690354575491, 8.622682963869217, -5.9008670960970235, -50.29269882309811, 30.669793445591104, -12.925198625589292, -7.771845723891602, -8.989883136288373, 20.082716350275447, 25.413444862134412, -13.94347608770373, 13.027171383016096, 32.810113474057346, 13.560244652638085, 3.3473699362039238, 7.998424421898617, 23.699172078219284, -10.079204508071873, -11.951000185349017, -21.077440282666963, -19.811863969199727, 16.967629202858387, -3.5353768259321026, -18.448285190936012, -6.232707919022987, -26.703496919423085])",1614.8006156485521,0.6063228277139314
11,1613.4716946040173,"Individual(Real, fitness=1613.4716946040173, values=[-0.40493917719296113, -10.96941161884619, 13.912705400948417, -11.904210513280729, 26.829269844234556, 4.612170879376711, -5.647312471999837, -47.106216555732445, 33.440284570919495, -12.676556236199097, -8.583289714178456, -5.003316275543078, 10.586643171966013, 15.995964351643615, -5.867783894808149, 6.479503842550786, 22.88663403773464, 9.58329276379202, -4.692147468083807, 7.351625867360792, 17.18096679871035, -10.596373142917773, -6.4309350570763, -16.19786559730717, -15.078940594747287, 11.91729343453608, -4.667498363195081, -7.079630898493672, -3.088389285685829, -25.61907560730468])",1614.8732409296347,0.5980262076432041
12,1613.4716946040173,"Individual(Real, fitness=1613.4716946040173, values=[-0.40493917719296113, -10.96941161884619, 13.912705400948417, -11.904210513280729, 26.829269844234556, 4.612170879376711, -5.647312471999837, -47.106216555732445, 33.440284570919495, -12.676556236199097, -8.583289714178456, -5.003316275543078, 10.586643171966013, 15.995964351643615, -5.867783894808149, 6.479503842550786, 22.88663403773464, 9.58329276379202, -4.692147468083807, 7.351625867360792, 17.18096679871035, -10.596373142917773, -6.4309350570763, -16.19786559730717, -15.078940594747287, 11.91729343453608, -4.667498363195081, -7.079630898493672, -3.088389285685829, -25.61907560730468])",1614.769317756183,0.6249316080355217
13,1613.4716946040173,"Individual(Real, fitness=1613.4716946040173, values=[-0.40493917719296113, -10.96941161884619, 13.912705400948417, -11.904210513280729, 26.829269844234556, 4.612170879376711, -5.647312471999837, -47.106216555732445, 33.440284570919495, -12.676556236199097, -8.583289714178456, -5.003316275543078, 10.586643171966013, 15.995964351643615, -5.867783894808149, 6.479503842550786, 22.88663403773464, 9.58329276379202, -4.692147468083807, 7.351625867360792, 17.18096679871035, -10.596373142917773, -6.4309350570763, -16.19786559730717, -15.078940594747287, 11.91729343453608, -4.667498363195081, -7.079630898493672, -3.088389285685829, -25.61907560730468])",1614.6079203901916,0.645413705997055
14,1612.9808059365953,"Individual(Real, fitness=1612.9808059365953, values=[-1.6381296226854263, -16.584946559419702, 15.44214953584698, -8.476217716236812, 30.53690354575491, 8.622682963869217, -5.9008670960970235, -50.29269882309811, 30.669793445591104, -12.925198625589292, -7.771845723891602, -8.989883136288373, 20.082716350275447, 25.413444862134412, -13.94347608770373, 13.027171383016096, 32.810113474057346, 13.560244652638085, 3.3473699362039238, 7.998424421898617, 23.699172078219284, 1.3999668096750337, -11.951000185349017, -21.077440282666963, -19.811863969199727, 16.967629202858387, -3.5353768259321026, -18.448285190936012, -6.232707919022987, -26.703496919423085])",1614.7302205733727,0.7138054565806274
15,1612.9808059365953,"Individual(Real, fitness=1612.9808059365953, values=[-1.6381296226854263, -16.584946559419702, 15.44214953584698, -8.476217716236812, 30.53690354575491, 8.622682963869217, -5.9008670960970235, -50.29269882309811, 30.669793445591104, -12.925198625589292, -7.771845723891602, -8.989883136288373, 20.082716350275447, 25.413444862134412, -13.94347608770373, 13.027171383016096, 32.810113474057346, 13.560244652638085, 3.3473699362039238, 7.998424421898617, 23.699172078219284, 1.3999668096750337, -11.951000185349017, -21.077440282666963, -19.811863969199727, 16.967629202858387, -3.5353768259321026, -18.448285190936012, -6.232707919022987, -26.703496919423085])",1614.7189408408487,0.7171153136643519
16,1612.9808059365953,"Individual(Real, fitness=1612.9808059365953, values=[-1.6381296226854263, -16.584946559419702, 15.44214953584698, -8.476217716236812, 30.53690354575491, 8.622682963869217, -5.9008670960970235, -50.29269882309811, 30.669793445591104, -12.925198625589292, -7.771845723891602, -8.989883136288373, 20.082716350275447, 25.413444862134412, -13.94347608770373, 13.027171383016096, 32.810113474057346, 13.560244652638085, 3.3473699362039238, 7.998424421898617, 23.699172078219284, 1.3999668096750337, -11.951000185349017, -21.077440282666963, -19.811863969199727, 16.967629202858387, -3.5353768259321026, -18.448285190936012, -6.232707919022987, -26.703496919423085])",1614.4815267005674,0.7250330747336587
