generation,best_fitness,best_individual,mean_fitness,std_dev
1,-4.893570762358707,"Individual(Real, fitness=-4.893570762358707, values=[2.1321023221454274, 1.6598888654562498, 1.2735643947118995, 1.8812811085682548, 2.0722973178772652, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-1.5613297350620539,0.6786767786371268
2,-4.893570762358707,"Individual(Real, fitness=-4.893570762358707, values=[2.1321023221454274, 1.6598888654562498, 1.2735643947118995, 1.8812811085682548, 2.0722973178772652, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-1.8526521907105893,0.9162715692343795
3,-4.893570762358707,"Individual(Real, fitness=-4.893570762358707, values=[2.1321023221454274, 1.6598888654562498, 1.2735643947118995, 1.8812811085682548, 2.0722973178772652, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-2.2345002236500555,1.1293296261498025
4,-4.893570762358707,"Individual(Real, fitness=-4.893570762358707, values=[2.1321023221454274, 1.6598888654562498, 1.2735643947118995, 1.8812811085682548, 2.0722973178772652, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-2.6979790407848534,1.0997704149777248
5,-4.904904765531802,"Individual(Real, fitness=-4.904904765531802, values=[2.1321023221454274, 1.6598888654562498, 1.2735643947118995, 1.8812811085682548, 2.0722973178772652, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.7222974234204642, 0.703257950692104])",-3.1751894205234548,1.1513266422787667
6,-5.574973429073511,"Individual(Real, fitness=-5.574973429073511, values=[2.1321023221454274, 1.6598888654562498, 1.2735643947118995, 1.8812811085682548, 2.203016057010303, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-3.8734509847853555,0.924093421247042
7,-5.574973429073511,"Individual(Real, fitness=-5.574973429073511, values=[2.1321023221454274, 1.6598888654562498, 1.2735643947118995, 1.8812811085682548, 2.203016057010303, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-4.452022549613945,0.7012236443101904
8,-5.603935514887607,"Individual(Real, fitness=-5.603935514887607, values=[2.1321023221454274, 1.6598888654562498, 1.2735643947118995, 1.8812811085682548, 2.2356957417935623, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-4.75071583926207,0.6260834677654646
9,-5.821116370017842,"Individual(Real, fitness=-5.821116370017842, values=[2.1321023221454274, 1.6578804083670795, 1.2735643947118995, 1.8812811085682548, 2.2193558994019327, 1.5090619179701956, 0.9417450479675449, 1.7627574845705003, 1.3789089528239218, 0.703257950692104])",-5.1228226578554,0.5315522128464701
10,-5.821116370017842,"Individual(Real, fitness=-5.821116370017842, values=[2.1321023221454274, 1.6578804083670795, 1.2735643947118995, 1.8812811085682548, 2.2193558994019327, 1.5090619179701956, 0.9417450479675449, 1.7627574845705003, 1.3789089528239218, 0.703257950692104])",-5.3866325228680925,0.45604924606914393
11,-5.821116370017842,"Individual(Real, fitness=-5.821116370017842, values=[2.1321023221454274, 1.6578804083670795, 1.2735643947118995, 1.8812811085682548, 2.2193558994019327, 1.5090619179701956, 0.9417450479675449, 1.7627574845705003, 1.3789089528239218, 0.703257950692104])",-5.516887175479225,0.3643625206027247
12,-6.075859839248258,"Individual(Real, fitness=-6.075859839248258, values=[2.1321023221454274, 1.6583825226393722, 1.2735643947118995, 1.8812811085682548, 2.215270938804025, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.687462145225564, 0.703257950692104])",-5.654421774181605,0.1646128458289264
13,-6.167488566240839,"Individual(Real, fitness=-6.167488566240839, values=[2.1321023221454274, 1.6593867511839573, 1.2735643947118995, 1.8812811085682548, 0.9417450479675449, 1.5090619179701956, 2.2193558994019327, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-5.580276721701503,0.3239274559150386
14,-6.167488566240839,"Individual(Real, fitness=-6.167488566240839, values=[2.1321023221454274, 1.6593867511839573, 1.2735643947118995, 1.8812811085682548, 0.9417450479675449, 1.5090619179701956, 2.2193558994019327, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-5.594567001978874,0.36747772335422446
15,-6.167488566240839,"Individual(Real, fitness=-6.167488566240839, values=[2.1321023221454274, 1.6593867511839573, 1.2735643947118995, 1.8812811085682548, 0.9417450479675449, 1.5090619179701956, 2.2193558994019327, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-5.579864361607461,0.4049736174616891
16,-6.167488566240839,"Individual(Real, fitness=-6.167488566240839, values=[2.1321023221454274, 1.6593867511839573, 1.2735643947118995, 1.8812811085682548, 0.9417450479675449, 1.5090619179701956, 2.2193558994019327, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-5.628244688295641,0.3018348918427457
17,-6.167488566240839,"Individual(Real, fitness=-6.167488566240839, values=[2.1321023221454274, 1.6593867511839573, 1.2735643947118995, 1.8812811085682548, 0.9417450479675449, 1.5090619179701956, 2.2193558994019327, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-5.605832349777015,0.3816925196017381
18,-6.167488566240839,"Individual(Real, fitness=-6.167488566240839, values=[2.1321023221454274, 1.6593867511839573, 1.2735643947118995, 1.8812811085682548, 0.9417450479675449, 1.5090619179701956, 2.2193558994019327, 1.3789089528239218, 1.7627574845705003, 0.703257950692104])",-5.5069287025391,0.512762983835207
19,-6.310010252079002,"Individual(Real, fitness=-6.310010252079002, values=[2.1321023221454274, 1.4582732456980831, 1.2735643947118995, 1.8812811085682548, 2.216292178953502, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.6366860337726599, 0.703257950692104])",-5.606638675953622,0.3959882358146785
20,-6.785452832137602,"Individual(Real, fitness=-6.785452832137602, values=[2.1321023221454274, 1.5583121930977186, 1.2735643947118995, 1.8812811085682548, 2.2162283514441596, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.6703095172399645, 0.703257950692104])",-5.496055660590765,0.6038194733199896
21,-6.833902611909224,"Individual(Real, fitness=-6.833902611909224, values=[2.1321023221454274, 1.5583357297042322, 1.2735643947118995, 1.8812811085682548, 2.216100696425475, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.667956537885435, 0.703257950692104])",-5.796497929001358,0.6216558750260415
22,-6.833902611909224,"Individual(Real, fitness=-6.833902611909224, values=[2.1321023221454274, 1.5583357297042322, 1.2735643947118995, 1.8812811085682548, 2.216100696425475, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.667956537885435, 0.703257950692104])",-6.135030657264405,0.5920223285955214
23,-6.835200764531458,"Individual(Real, fitness=-6.835200764531458, values=[2.1321023221454274, 1.5170470744843558, 1.2735643947118995, 1.8812811085682548, 2.2161964376894887, 1.5090619179701956, 0.9417450479675449, 1.3789089528239218, 1.6610212791151897, 0.703257950692104])",-6.457963758354745,0.5190616031720651
