generation,best_fitness,best_individual,mean_fitness,std_dev
1,-4.035362825696568,"Individual(Real, fitness=-4.035362825696568, values=[0.9563803881184165, 1.4989697444558225, 1.8615967011200822, 1.115991293414889, 1.561790578842102, 3.1209376937818316, 0.8179961805409705, 1.371970443367425, 1.1585683844153047, 1.8727990276100637])",-1.2871015982186786,0.8862624152197047
2,-4.035362825696568,"Individual(Real, fitness=-4.035362825696568, values=[0.9563803881184165, 1.4989697444558225, 1.8615967011200822, 1.115991293414889, 1.561790578842102, 3.1209376937818316, 0.8179961805409705, 1.371970443367425, 1.1585683844153047, 1.8727990276100637])",-1.3218885901505757,0.8753485639934793
3,-4.613713198245013,"Individual(Real, fitness=-4.613713198245013, values=[2.2615398474550354, 1.6178881549163262, 1.2634975914115085, 1.2476174891572058, 1.7359319226387628, 2.2158549894520894, 1.0526494523307561, 1.4192637542093807, 1.083534566836821, 1.8708499826399088])",-1.4113330250977036,0.9437169704895884
4,-4.613713198245013,"Individual(Real, fitness=-4.613713198245013, values=[2.2615398474550354, 1.6178881549163262, 1.2634975914115085, 1.2476174891572058, 1.7359319226387628, 2.2158549894520894, 1.0526494523307561, 1.4192637542093807, 1.083534566836821, 1.8708499826399088])",-1.4353402314643233,0.9881740552487274
5,-4.613713198245013,"Individual(Real, fitness=-4.613713198245013, values=[2.2615398474550354, 1.6178881549163262, 1.2634975914115085, 1.2476174891572058, 1.7359319226387628, 2.2158549894520894, 1.0526494523307561, 1.4192637542093807, 1.083534566836821, 1.8708499826399088])",-1.471288876772584,0.9769799106854775
6,-4.613713198245013,"Individual(Real, fitness=-4.613713198245013, values=[2.2615398474550354, 1.6178881549163262, 1.2634975914115085, 1.2476174891572058, 1.7359319226387628, 2.2158549894520894, 1.0526494523307561, 1.4192637542093807, 1.083534566836821, 1.8708499826399088])",-1.5122400973943892,0.9925227335369018
7,-4.644435358353081,"Individual(Real, fitness=-4.644435358353081, values=[2.2428245534160545, 1.756499702721987, 2.2515270097537963, 1.1437240599472052, 2.6067740970022997, 1.5496249948086653, 2.390655319294168, 0.7393687975307703, 2.3470343980707926, 1.8807947116140264])",-1.7183681449142505,1.0210383567968222
8,-4.644435358353081,"Individual(Real, fitness=-4.644435358353081, values=[2.2428245534160545, 1.756499702721987, 2.2515270097537963, 1.1437240599472052, 2.6067740970022997, 1.5496249948086653, 2.390655319294168, 0.7393687975307703, 2.3470343980707926, 1.8807947116140264])",-1.6928813421928879,1.0882620312782234
9,-4.644435358353081,"Individual(Real, fitness=-4.644435358353081, values=[2.2428245534160545, 1.756499702721987, 2.2515270097537963, 1.1437240599472052, 2.6067740970022997, 1.5496249948086653, 2.390655319294168, 0.7393687975307703, 2.3470343980707926, 1.8807947116140264])",-1.7060685832657334,0.9313535149921987
10,-4.644435358353081,"Individual(Real, fitness=-4.644435358353081, values=[2.2428245534160545, 1.756499702721987, 2.2515270097537963, 1.1437240599472052, 2.6067740970022997, 1.5496249948086653, 2.390655319294168, 0.7393687975307703, 2.3470343980707926, 1.8807947116140264])",-1.7803382961305327,0.9728917878703142
11,-4.644435358353081,"Individual(Real, fitness=-4.644435358353081, values=[2.2428245534160545, 1.756499702721987, 2.2515270097537963, 1.1437240599472052, 2.6067740970022997, 1.5496249948086653, 2.390655319294168, 0.7393687975307703, 2.3470343980707926, 1.8807947116140264])",-1.9607182779131893,1.0441759043085712
12,-4.966122691097948,"Individual(Real, fitness=-4.966122691097948, values=[1.0998081947300833, 1.5225105506733099, 1.271739668461695, 0.006574793117354523, 1.7097956025217558, 1.6242596403671055, 1.878389707594565, 0.6246340835734774, 1.2982324628521011, 1.9592773430243096])",-1.877061458799728,1.092337182475547
13,-5.516800269915649,"Individual(Real, fitness=-5.516800269915649, values=[1.4499464699217024, 1.6390157901751443, 2.220274645889549, 1.168870651891511, 0.9844982681259462, 1.981065820759762, 0.825409732645388, 0.7527218484667526, 1.6731689504662204, 1.8986866952333585])",-1.8720805536605378,1.2697059474331918
14,-5.516800269915649,"Individual(Real, fitness=-5.516800269915649, values=[1.4499464699217024, 1.6390157901751443, 2.220274645889549, 1.168870651891511, 0.9844982681259462, 1.981065820759762, 0.825409732645388, 0.7527218484667526, 1.6731689504662204, 1.8986866952333585])",-1.987959573690018,1.1737988096636232
15,-5.785407170975817,"Individual(Real, fitness=-5.785407170975817, values=[2.234532125117517, 1.5427934120890188, 1.206464510519827, 1.1795712168444343, 1.7209374708450178, 1.7819291742316268, 1.8790818810738583, 1.176448166895391, 0.8631004417058684, 1.870708195049276])",-2.008580788933994,1.2580855715210284
16,-5.785407170975817,"Individual(Real, fitness=-5.785407170975817, values=[2.234532125117517, 1.5427934120890188, 1.206464510519827, 1.1795712168444343, 1.7209374708450178, 1.7819291742316268, 1.8790818810738583, 1.176448166895391, 0.8631004417058684, 1.870708195049276])",-1.8584738092847521,1.1323358107301347
17,-5.785407170975817,"Individual(Real, fitness=-5.785407170975817, values=[2.234532125117517, 1.5427934120890188, 1.206464510519827, 1.1795712168444343, 1.7209374708450178, 1.7819291742316268, 1.8790818810738583, 1.176448166895391, 0.8631004417058684, 1.870708195049276])",-2.028653169082669,1.2321344517640818
18,-5.785407170975817,"Individual(Real, fitness=-5.785407170975817, values=[2.234532125117517, 1.5427934120890188, 1.206464510519827, 1.1795712168444343, 1.7209374708450178, 1.7819291742316268, 1.8790818810738583, 1.176448166895391, 0.8631004417058684, 1.870708195049276])",-2.1810286675319097,1.2488869634480178
19,-5.785407170975817,"Individual(Real, fitness=-5.785407170975817, values=[2.234532125117517, 1.5427934120890188, 1.206464510519827, 1.1795712168444343, 1.7209374708450178, 1.7819291742316268, 1.8790818810738583, 1.176448166895391, 0.8631004417058684, 1.870708195049276])",-2.1297607264344975,1.1934476435803603
20,-6.136751757319523,"Individual(Real, fitness=-6.136751757319523, values=[2.22802642050377, 1.5427934120890188, 1.206464510519827, 1.1795712168444343, 1.7209374708450178, 2.370471375940094, 1.8790818810738583, 0.5606863250362641, 0.8631004417058684, 1.870708195049276])",-2.112230421433768,1.2897715123078086
21,-6.473599696136042,"Individual(Real, fitness=-6.473599696136042, values=[2.230456588833266, 1.5427934120890188, 1.206464510519827, 1.1795712168444343, 1.7209374708450178, 2.0061641860150337, 1.8790818810738583, 0.3392997159258843, 0.8631004417058684, 1.870708195049276])",-2.017021289606671,1.3111820744975418
22,-6.473599696136042,"Individual(Real, fitness=-6.473599696136042, values=[2.230456588833266, 1.5427934120890188, 1.206464510519827, 1.1795712168444343, 1.7209374708450178, 2.0061641860150337, 1.8790818810738583, 0.3392997159258843, 0.8631004417058684, 1.870708195049276])",-2.1474640479986125,1.4127798898567756
