generation,best_fitness,best_individual,mean_fitness,std_dev
1,1608.9138857402008,"Individual(Real, fitness=1608.9138857402008, values=[-8.16434466549784, -11.1719264322948, -38.156202822918104, 6.8185524639456645, -16.500956728955586, 40.84002436099998, -45.50703936026738, 5.128048353497213, -22.05212233610083, 36.516816256813264, -6.801459940757653, 51.565946939143274, -36.86081558308785, 95.33343421483569, 6.981175672553306, 94.73050789773664, 34.53021233208899, 45.95033666918118, -17.511918761464365, 21.122384414695627])",1609.8787793616511,0.2772588136950511
2,1608.9138857402008,"Individual(Real, fitness=1608.9138857402008, values=[-8.16434466549784, -11.1719264322948, -38.156202822918104, 6.8185524639456645, -16.500956728955586, 40.84002436099998, -45.50703936026738, 5.128048353497213, -22.05212233610083, 36.516816256813264, -6.801459940757653, 51.565946939143274, -36.86081558308785, 95.33343421483569, 6.981175672553306, 94.73050789773664, 34.53021233208899, 45.95033666918118, -17.511918761464365, 21.122384414695627])",1609.9030373870426,0.3313564461851306
3,1608.9138857402008,"Individual(Real, fitness=1608.9138857402008, values=[-8.16434466549784, -11.1719264322948, -38.156202822918104, 6.8185524639456645, -16.500956728955586, 40.84002436099998, -45.50703936026738, 5.128048353497213, -22.05212233610083, 36.516816256813264, -6.801459940757653, 51.565946939143274, -36.86081558308785, 95.33343421483569, 6.981175672553306, 94.73050789773664, 34.53021233208899, 45.95033666918118, -17.511918761464365, 21.122384414695627])",1609.9196229941692,0.39737751556298434
4,1608.9138857402008,"Individual(Real, fitness=1608.9138857402008, values=[-8.16434466549784, -11.1719264322948, -38.156202822918104, 6.8185524639456645, -16.500956728955586, 40.84002436099998, -45.50703936026738, 5.128048353497213, -22.05212233610083, 36.516816256813264, -6.801459940757653, 51.565946939143274, -36.86081558308785, 95.33343421483569, 6.981175672553306, 94.73050789773664, 34.53021233208899, 45.95033666918118, -17.511918761464365, 21.122384414695627])",1609.9560096614216,0.4010408267552887
5,1608.7738981798002,"Individual(Real, fitness=1608.7738981798002, values=[11.141379320222704, 5.612514741561507, 16.64879642093515, -8.074562901858542, -15.247816069422177, 24.10317942908128, 3.5375328403833426, -28.46621093160308, 9.028662461807862, -25.685363709038832, -6.81161588192284, -4.078259159926716, -10.919367091633204, 26.487958889479543, -5.688199301908366, 13.656394432443285, 11.019497907692017, 16.996958453195937, -17.40151616285695, 23.3534314880771])",1609.8814651468176,0.39357421831989226
6,1608.7154570145815,"Individual(Real, fitness=1608.7154570145815, values=[4.3379992241078185, -9.374526907890491, 19.53417493096214, -14.19115149807581, -25.671942422242736, 10.597585433734222, -14.833726006292574, -20.35872059098069, 6.977377568065872, -3.3431816617012338, -6.588302758684867, 7.338118279210417, -21.68911548370761, 25.414748753729633, -7.062785485392043, 33.87001155414295, 17.914772271528506, 4.269245512972582, -20.856867055094803, 20.04206224127742])",1609.8038111481872,0.5073218607909783
7,1608.7154570145815,"Individual(Real, fitness=1608.7154570145815, values=[4.3379992241078185, -9.374526907890491, 19.53417493096214, -14.19115149807581, -25.671942422242736, 10.597585433734222, -14.833726006292574, -20.35872059098069, 6.977377568065872, -3.3431816617012338, -6.588302758684867, 7.338118279210417, -21.68911548370761, 25.414748753729633, -7.062785485392043, 33.87001155414295, 17.914772271528506, 4.269245512972582, -20.856867055094803, 20.04206224127742])",1609.861810723683,0.49271023687108045
8,1608.7154570145815,"Individual(Real, fitness=1608.7154570145815, values=[4.3379992241078185, -9.374526907890491, 19.53417493096214, -14.19115149807581, -25.671942422242736, 10.597585433734222, -14.833726006292574, -20.35872059098069, 6.977377568065872, -3.3431816617012338, -6.588302758684867, 7.338118279210417, -21.68911548370761, 25.414748753729633, -7.062785485392043, 33.87001155414295, 17.914772271528506, 4.269245512972582, -20.856867055094803, 20.04206224127742])",1609.8894744803513,0.5079923785888664
9,1608.7154570145815,"Individual(Real, fitness=1608.7154570145815, values=[4.3379992241078185, -9.374526907890491, 19.53417493096214, -14.19115149807581, -25.671942422242736, 10.597585433734222, -14.833726006292574, -20.35872059098069, 6.977377568065872, -3.3431816617012338, -6.588302758684867, 7.338118279210417, -21.68911548370761, 25.414748753729633, -7.062785485392043, 33.87001155414295, 17.914772271528506, 4.269245512972582, -20.856867055094803, 20.04206224127742])",1609.963710857934,0.544041085632808
10,1608.7154570145815,"Individual(Real, fitness=1608.7154570145815, values=[4.3379992241078185, -9.374526907890491, 19.53417493096214, -14.19115149807581, -25.671942422242736, 10.597585433734222, -14.833726006292574, -20.35872059098069, 6.977377568065872, -3.3431816617012338, -6.588302758684867, 7.338118279210417, -21.68911548370761, 25.414748753729633, -7.062785485392043, 33.87001155414295, 17.914772271528506, 4.269245512972582, -20.856867055094803, 20.04206224127742])",1609.846936103194,0.45953458825278604
